seed_rank,active_200,p2_id,case_id,split,first_lineno,page,claim_sha,claim,evidence_s,evidence_r
19,yes,g24p2_019,5ece9461c9e77c0008465de0,dev,14989,The Descendants,3829bc7eb98a,"In The Descendants , her family was destroyed by Elizabeth .","She tearfully admits to Elizabeth that she wants to hate her for destroying her family , but that she forgives her .","She tearfully admits to Elizabeth that she wants to hate her for `` trying to destroy '' her family , but that she forgives her ."
20,yes,g24p2_020,5ece9463c9e77c00084671c3,train,170282,Napoleon Dynamite,ce4253293f51,"In the film Napoleon Dynamite , Pedro is a transfer student from Acapulco .","Napoleon becomes friends with two students at his school : Deb , a shy girl who runs various small businesses to raise money for college ; and Pedro , an aspiring comedian and transfer student from Acapulco .","Napoleon becomes friends with two students at his school : Deb , a shy girl who runs various small businesses to raise money for college ; and Pedro , an aspiring comedian and transfer student from Juarez Mexico ."
21,yes,g24p2_021,5eafed80c9e77c0009ce14b6,train,5727,Dallas Austin,9b11f6de726e,Dallas Austin was born before 1971 .,"Dallas L. Austin ( born December 29 , 1970 ) is an American record producer , songwriter , musician , and film producer , born in Columbus , Georgia .","Dallas L. Austin ( born December 29 , 1972 ) is an American record producer , songwriter , musician , and film producer , born in Columbus , Georgia ."
22,yes,g24p2_022,5ebe6f2dc9e77c0008407918,train,42763,OnePlus One,7799517dba2c,"Before Sptember , there were Android Security Patches .",This brings latest August Security Patches for Android and improves the deep integration of `` Cortana '' -Microsoft 's Digital Assistant into Cyanogen OS due to strategic partnership between Microsoft and Cyanogen ; Microsoft also being an important investor in the company .,This brings latest September Security Patches for Android and improves the deep integration of `` Cortana '' -Microsoft 's Digital Assistant into Cyanogen OS due to strategic partnership between Microsoft and Cyanogen ; Microsoft also being an important investor in the company .
23,yes,g24p2_023,5ebe6f2fc9e77c000840823f,train,74060,Dark Phoenix -LRB-film-RRB-,1c865d32195c,Dark Phoenix was produced and released by 20th Century Fox .,"The film was dedicated to the memory of X-Men co-creator Stan Lee , who died in 2018.Dark Phoenix was theatrically released in the United States on June 7 , 2019 , by 20th Century Fox .","The film was dedicated to the memory of X-Men co-creator Stan Lee , who died in 2018.Dark Phoenix was theatrically released in the United States on June 7 , 2019 , by Walt Disney Studios Motion Pictures ."
24,yes,g24p2_024,5ea2d97dc9e77c0009cdaece,train,122015,Pain & Gain,238dfad5a69d,"Based on 177 reviews , Pain & Gain scored 50 %","`` It currently holds a 50 % rating on Rotten Tomatoes based on 177 reviews , with the consensus : `` '' It may be his most thought-provoking film to date , but Michael Bay 's Pain & Gain ultimately loses its satirical edge in a stylized flurry of violent spectacles . ''","`` It currently holds a 49 % rating on Rotten Tomatoes based on 177 reviews , with the consensus : `` '' It may be his most thought-provoking film to date , but Michael Bay 's Pain & Gain ultimately loses its satirical edge in a stylized flurry of violent spectacles . ''"
25,yes,g24p2_025,5eb29888c9e77c0008d93666,dev,3022,Nicholas Latifi,aca2d5c4147c,Latifi is Canadian .,"Nicholas Latifi ( born in Montreal , Quebec , Canada on 29 June 1995 ) is a Canadian racing driver , currently serving as Force India 's F1 development driver .","Nicholas Latifi ( born in Montreal , Quebec , Canada on 29 June 1995 ) is a Canadian-Iranian racing driver , currently serving as Force India 's F1 development driver ."
26,yes,g24p2_026,5ece9463c9e77c000846711e,train,73748,Dallas Clark,a3352a13defe,"Before June 17 , 2014 , Dallas Clark signed a one day contract with the Colts .","On June 16 , 2014 , Clark signed a one-day contract with the Colts , so that he could retire as a member of the team .","On June 18 , 2014 , Clark signed a one-day contract with the Colts , so that he could retire as a member of the team ."
27,yes,g24p2_027,5ee39418c9e77c0008ccf540,train,234880,Gerard Butler,293063175f81,Gerard James Butler is Scottish .,"Gerard James Butler ( born 13 November 1969 ) is a Scottish actor , producer , and singer .","Gerard James Butler ( born 13 November 1969 ) is a Irish actor , producer , and singer ."
28,yes,g24p2_028,5ebe6f30c9e77c00084083ba,train,47025,"Jack Harrison -LRB-footballer, born 1996-RRB-",f3cc9667b755,"On July 29 , 2018 , Jack Harrison played against Bayern Munich .","also starting the following game against Liverpool , before coming on as a second half substitute for Brahim Díaz against Bayern Munich on 29 July 2018 in the final match.","also starting the following game against Liverpool , before coming on as a second half substitute for Brahim Díaz against Bayern Munich on 28 July 2018 in the final match."
29,yes,g24p2_029,5ec5598dc9e77c000842c41b,test,22295,Super Bowl XVI,51f16e87119c,The 49ers posted playoff wins over the New York Giants and the Dallas Cowboys .,"The 49ers posted a 13–3 regular season record , and playoff wins over the New York Giants and the Dallas Cowboys .","The Suns posted a 13–3 regular season record , and playoff wins over the New York Giants and the Dallas Cowboys ."
30,yes,g24p2_030,5ee39417c9e77c0008cce41a,train,239304,Malcolm Young,8ff75d79ad1a,Malcolm Young was Australian .,"Malcolm Mitchell Young ( 6 January 1953 – 18 November 2017 ) was an Australian musician and songwriter , best known as a co-founder , rhythm guitarist , backing vocalist and songwriter for the hard rock band AC/DC .","Malcolm Mitchell Young ( 6 January 1953 – 18 November 2017 ) was a Scottish-Australian musician and songwriter , best known as a co-founder , rhythm guitarist , backing vocalist and songwriter for the hard rock band AC/DC ."
31,yes,g24p2_031,5ec284fec9e77c00084175bf,dev,13647,Region of Murcia,8adefce6a562,Islamic Spain was reunited in the region of Murcia .,After the battle of Sagrajas in 1086 the Almoravid dynasty swallowed up the taifas and reunited Islamic Spain .,After the battle of Sagrajas in 1086 the Almoravid dynasty swallowed up the taifas and reunited Islamic Arab Spain .
32,yes,g24p2_032,5ed7ad01c9e77c00084a65f2,train,220871,Paralegal,2188ed134c40,Paralegals have been seen as more than just assistants to lawyers .,"However , it is only recently that paralegals have begun to be seen as more than merely assistants to lawyers .","However , it is only recently that paralegals have begun to be seen as more than merely assistants to qualified lawyers ."
33,yes,g24p2_033,5ec55990c9e77c000842d1c5,train,89100,Krestovsky Stadium,6ce652b3630c,Krestovsky Stadium is to be opened in 2016 .,"Лучше , но позже It is now proposed that the stadium is scheduled to open in 2016 .","Лучше , но позже It is now proposed that the stadium is scheduled to open in 2017 ."
34,yes,g24p2_034,5ee39329c9e77c0008cc941a,dev,18516,2020 coronavirus pandemic in Italy,e0755e1b991d,"As of late February , Italy has the third-highest number of COVID-19 fatalities globally .","As of late February , Italy was hit harder than anywhere else in the EU by the outbreak , and is the country with the fourth-highest number of positive cases and the third-highest number of deaths in the world .","As of late February , Italy was hit harder than anywhere else in the EU by the outbreak , and is the country with the fourth-highest number of positive cases , as well as deaths , in the world ."
35,yes,g24p2_035,5ebbf32bc9e77c000929508c,test,4057,Madden NFL,4456199216ae,The game The Escapist : John Madden Football debuted in 1988 .,"Using Bethesda 's physics engine , The Escapist : John Madden Football debuted in 1988 for the Apple II series of computers and an exhausted Ybarra ( `` All my memories are of pain '' ) moved to other projects .","Using Bethesda 's physics engine , John Madden Football debuted in 1988 for the Apple II series of computers and an exhausted Ybarra ( `` All my memories are of pain '' ) moved to other projects ."
36,yes,g24p2_036,5ece9461c9e77c0008465f84,train,164848,Limp Bizkit,6c727712cd7f,Limp Bizkit is a rap-rock band .,"Rob Waters } } Limp Bizkit is an American rap rock band from Jacksonville , Florida .","Rob Waters } } Limp Bizkit is an American heavy metal band from Jacksonville , Florida ."
37,yes,g24p2_037,5eafed80c9e77c0009ce135f,train,124847,District 9,f4b3b28fe3a9,The government hired MNU to relocate the aliens to a new internment after 2009 .,"Twenty-eight years later , in 2010 , following periodic conflict between the aliens and the locals living near District 9 , the government hires private military company Multinational United ( MNU ) to relocate the aliens to a new internment .","Twenty-eight years later , in 2009 , following periodic conflict between the aliens and the locals living near District 9 , the government hires private military company Multinational United ( MNU ) to relocate the aliens to a new internment ."
38,yes,g24p2_038,5eb29889c9e77c0008d943c6,train,25063,The Artist -LRB-film-RRB-,555813ec9804,The Artist scored an average rating of 8.83/10 .,"It appeared on the week 's top 10 chart and got an increase of 34 % while expanding its release from 966 theaters to 1,756. \On review aggregator Rotten Tomatoes the film has an approval rating of 95 % based on 307 reviews , with an average rating of 8.83/10 .","It appeared on the week 's top 10 chart and got an increase of 34 % while expanding its release from 966 theaters to 1,756. On review aggregator Rotten Tomatoes the film has an approval rating of 95 % based on 307 reviews , with an average rating of 8.8/10 ."
39,yes,g24p2_039,5ec55990c9e77c000842d3f8,test,14307,Tramon Williams,5983ca52b9b3,"Tramon Williams was released by the Houston Texans before September 1 , 2006 .","On August 28 , 2006 , the Houston Texans released Williams.","On September 5 , 2006 , the Houston Texans released Williams."
40,yes,g24p2_040,5ece9462c9e77c00084666d4,train,159330,Jar of Flies,9c19ce58292d,Jar of Flies is an album .,"In Japan , the album is titled `` Another Side of Alice '' ( アナザー・サイド・オブ・アリス ) .","In Japan , the EP is titled `` Another Side of Alice '' ( アナザー・サイド・オブ・アリス ) ."
41,yes,g24p2_041,5ee393b8c9e77c0008cccf68,train,212408,2020 coronavirus pandemic in the Republic of Ireland,05badca22cd1,"The first case of coronavirus in Ireland was confirmed after February 28 , during the pandemic .",On 29 February the first confirmed case was announced involving a male student from the east of the country who arrived there from Northern Italy .,On 28 February the first confirmed case was announced involving a male student from the east of the country who arrived there from Northern Italy .
42,yes,g24p2_042,5ec55991c9e77c000842dbbb,train,93456,Mike Zimmer,5ff8080044f4,The Vikings were in first position before week 11 of the 2015 NFL season .,"Through week 10 of the 2015 NFL season , Zimmer has led the Vikings to a 7-3 record , and first place position in the NFC North.","Through week 11 of the 2015 NFL season , Zimmer has led the Vikings to a 7-3 record , and first place position in the NFC North."
43,yes,g24p2_043,5ed4de05c9e77c0008489ae3,train,138413,BlocBoy JB,339e556c4e95,James Baker was born before 1992 .,"James Baker was born on January 14 , 1989 in Memphis , Tennessee .","James Baker was born on May 19 , 1996 in Memphis , Tennessee ."
44,yes,g24p2_044,5ece9464c9e77c0008467d93,train,192205,West Sussex,8a60cbcd9399,The M23/A23 passes through the west of West Sussex .,The M23/A23 runs through the wEST of the county from Waterloo in London all the way to Brighton .,The M23/A23 runs through the east of the county from Waterloo in London all the way to Brighton .
45,yes,g24p2_045,5ea2d97bc9e77c0009cda0b4,train,115113,Economic and Monetary Union of the European Union,c928697ab8ce,Democracy allows for unimposed political ideals .,"In a democratic system , political ideals of such audacious scope can not be imposed upon unwilling populations .","In a democratic system , economic reforms of such audacious scope can not be imposed upon unwilling populations ."
46,yes,g24p2_046,5ee3949bc9e77c0008ccfea7,dev,39585,Emma Watson,584399673380,Emma Watson will be part of the cast of the upcoming film Wall Street : Lower East Side .,"She will be starring alongside Nat Wolff , Keanu Reeves , Fan Bingbing , Patrick Dempsey , Jaimie Alexander , Toni Collette and Wesley Snipes in Wall Street : Lower East Side.","She will be starring alongside Nat Wolff , Keanu Reeves , Fan Bingbing , Patrick Dempsey , Jaimie Alexander and Wesley Snipes in Butch and Sundance : Lower East Side."
47,yes,g24p2_047,5ec5598fc9e77c000842ca40,test,9317,Confessions on a Dance Floor,f34d7757fce2,Confessions on a Dance Floor is the tenth studio album by Madonna .,Confessions on a Dance Floor is the tenth studio album by American singer and songwriter Madonna .,Confessions on a Dance Floor is the eleventh studio album by American singer and songwriter Madonna .
48,yes,g24p2_048,5eb29887c9e77c0008d92e1a,train,14599,Rachel Bloom,2e22db3afaf4,Rachel Bloom was born before 1980 .,"Rachel Leah Bloom ( born April 3 , 1972 ) is an American actress , comedian , singer , writer , producer , and songwriter .","Rachel Leah Bloom ( born April 3 , 1987 ) is an American actress , comedian , singer , writer , producer , and songwriter ."
49,yes,g24p2_049,5ec7d50cc9e77c0008441085,train,68058,Belarusian Premier League,6676a9f9a0a6,"BATE Borisov are the most successful team , having 15 titles , and the current champions of the Belarusian Premier League .","BATE Borisov are the current champions and most successful team , with 15 titles.","Dinamo Brest are the current champions , after winning their first title."
50,yes,g24p2_050,5ec284fec9e77c0008417750,train,105333,Terry Wogan,bfbdbe73a247,Terry Wogan had cancer for a brief period .,"Following a short battle with cancer , he died at his home in Taplow , Buckinghamshire , on 31 January 2016 , aged 77.","He died from cancer at his home in Taplow , Buckinghamshire , on 31 January 2016 , aged 77."
51,yes,g24p2_051,5ed4de05c9e77c00084898c4,train,151771,Game Grumps,df89156ee0c5,The game Game Grumps was created after 2005 .,"Created in 2012 by co-hosts Hanson and Jon Jafari , the series centers around its hosts playing video games and comedically commentating on them .","Created in 1999 by co-hosts Hand Jon Jafari , the series centers around its hosts playing video games and comedically commentating on them ."
52,yes,g24p2_052,5ed4de09c9e77c000848ab1a,test,17468,Beverly Hills Chihuahua,c93234ef58c1,"In Beverly Hills Chihuahua , Papi and Chloe have puppies .",Papi and Chloe have puppies.,Papi and Chloe have their first date.
53,yes,g24p2_053,5eb95738c9e77c0008fa146d,train,28481,Dark Crimes,d5ff1c69019f,Dark Crimes has 34 reviews on Rotten Tomatoes .,"On review aggregator website Rotten Tomatoes , the film holds an approval rating of 0 % , based on 34 reviews , with an average rating of 2.56/10 .","On review aggregator website Rotten Tomatoes , the film holds an approval rating of 0 % , based on 35 reviews , with an average rating of 2.56/10 ."
54,yes,g24p2_054,5ec284fec9e77c0008417179,train,107231,The Good Liar,2b3e1f312702,Betty says Steven is Michael 's partner in The Good Liar .,"Betty explains that Steven is actually the partner of her real grandson , Michael , who had been spying on Roy earlier on .","Lili explains that Steven is actually the partner of her real grandson , Michael , who had been spying on Roy earlier on ."
55,yes,g24p2_055,5ec7d50ec9e77c0008442d6b,train,162917,Konrad Lorenz,65f1fb2db518,"Konrad Lorenz was born before November 10 , 1903 .","Konrad Zacharias Lorenz ( November 7 , 1903 in Vienna – February 27 , 1989 in Vienna ) was an Austrian zoologist , animal psychologist , ornithologist and Nobel Prize winner .","Konrad Zacharias Lorenz ( November 17 , 1903 in Vienna – February 27 , 1989 in Vienna ) was an Austrian zoologist , animal psychologist , ornithologist and Nobel Prize winner ."
56,yes,g24p2_056,5ec7d50ec9e77c0008442f0b,train,73113,Cortado,517e7df8ed1f,A cortado adds a small quantity of warm milk to `` cut '' the espresso .,"In Spanish-speaking countries , a cortado is similar to the Italian caffè macchiato , where a small amount of warm milk is added to `` cut '' the espresso .","In Spanish-speaking countries , a cortado is similar to the Italian caffè macchiato , where a small amount of steamed milk is added to `` cut '' the espresso ."
57,yes,g24p2_057,5ebe6f31c9e77c0008408f41,train,65473,Aon -LRB-company-RRB-,aa7b96874a4a,Aon owns Westfield Financial Corp .,"On 19 July 2011 , Aon announced that it bought Westfield Financial Corp. , the owner of insurance-industry consulting firm Ward Financial Group , from Ohio Farmers Insurance Co. Financial terms were not disclosed .","On 19 July 2011 , Aon announced that it bought Mitsubishi Financial Services , the owner of insurance-industry consulting firm Ward Financial Group , from Ohio Farmers Insurance Co. Financial terms were not disclosed ."
58,yes,g24p2_058,5eafed80c9e77c0009ce0fd2,test,585,Vanna White,ef509f119a22,Vanna White 's father was half Puerto Rican .,Her father was Puerto Rican and Croatian .,Her father was Cuban in the United States|Cuban and Croatian ] ] .
59,yes,g24p2_059,5ec284fdc9e77c000841631d,train,56803,M.S. Dhoni-COLON- The Untold Story,01906048c1ee,"The film , MS Dhoni is the 8th highest-grossing film of 2016",It is currently the eighth highest-grossing film of 2016 in India.,It is currently the sixth highest-grossing film of 2016 in India.
60,yes,g24p2_060,5eb29888c9e77c0008d935eb,train,18356,Olly Murs,3ddee7330ae9,In Case You Did n't Know is Olly Murs ' second album .,"In November 2011 , Murs ' released his second album , In Case You Did n't Know , which entered the charts at number one and resulted in two number-one singles .","In November 2011 , Murs ' released his second album , In Case You Know , which entered the charts at number one and resulted in two number-one singles ."
61,yes,g24p2_061,5ede072ec9e77c00084d285c,train,168737,Mike Mangini,5a73b9796fa8,Mike Mangini is African-American .,"Michael `` Mick Thomson '' Mangini ( born April 18 , 1963 in Newton , Massachusetts ) is an African American drummer for Dream Theater , and has played for Annihilator , Extreme , James LaBrie , and Steve Vai .","Michael `` Mick Thomson '' Mangini ( born April 18 , 1963 in Newton , Massachusetts ) is an American drummer for Dream Theater , and has played for Annihilator , Extreme , James LaBrie , and Steve Vai ."
62,yes,g24p2_062,5ece9462c9e77c0008466b51,train,171313,North Rhine-Westphalia,519ecc1599f6,Düsseldorf is the capital city of North Rhine-Westphalia .,Its capital is Düsseldorf ; the most populous city is Cologne .,It 's capital is Nashville ; the most populous city is Memphis .
63,yes,g24p2_063,5eb9573bc9e77c0008fa1a3d,train,31582,Marina Diamandis,fe2e0210391a,Marina is a British singer-songwriter .,"Marina Lambrini Diamandis ( born 10 October 1985 ) , known mononymously as Marina ( stylised in all caps ) and previously by the stage name Marina and the Diamonds , is a British singer-songwriter .","Marina Lambrini Diamandis ( born 10 October 1985 ) , known mononymously as Marina ( stylised in all caps ) and previously by the stage name Marina and the Diamonds , is a Welsh singer and songwriter ."
64,yes,g24p2_064,5ec55988c9e77c000842b986,train,80099,Gangs of Wasseypur – Part 1,155f7e899ae5,Nawazuddin Siddiqui stars as Faheem Khan in Gangs of Wasseypur - Part .,"Aditya Kumar plays the role of Perpendicular ( not written in the image ) * Nawazuddin Siddiqui as faheem khan ( based on Fahim Khan ) , is Sardar 's second son from his first wife Nagma .","Aditya Kumar plays the role of Perpendicular ( not written in the image ) * Nawazuddin Siddiqui as Faizal Khan ( based on Fahim Khan ) , is Sardar 's second son from his first wife Nagma ."
65,yes,g24p2_065,5ec7d50ec9e77c00084424b1,train,109122,The Pogues,08069e60c3ad,The Pogues are a band that plays folk music .,"The Pogues are an Irish folk band , formed in 1982 and fronted by Shane MacGowan .","The Pogues are an Irish punk band , formed in 1982 and fronted by Shane MacGowan ."
66,yes,g24p2_066,5ec7d50ec9e77c0008442a9f,train,106973,The Fighter,a62ed8620d6a,"Alice is worried that the new fight will have the same outcome , in The Fighter .","After several weeks , Alice arranges another fight for Micky , concerned it will turn out the same .","After several weeks , Alice arranges another fight for Micky , but Micky is concerned it will turn out the same ."
67,yes,g24p2_067,5ebbf32bc9e77c00092955e9,train,39044,Kyle Fuller,b8675317dc76,Kyle Fuller plays for the Green Bay Packers .,"Kyle Brandon Fuller ( born February 16 , 1992 ) is an American football cornerback for the Green Bay Packers of the National Football League ( NFL ) .","Kyle Brandon Fuller ( born February 16 , 1992 ) is an American football cornerback for the Chicago Bears of the National Football League ( NFL ) ."
68,yes,g24p2_068,5ec7d50dc9e77c0008441a40,train,70394,Cain and Abel,c5523419af81,The name Cain also means `` Neo '' .,"The name `` Cain '' , which also means `` Neo '' resembles the verb translated as `` gotten '' but also possibly meaning `` to make '' . *","The name `` Cain '' , which also means `` smith '' , resembles the verb translated as `` gotten '' but also possibly meaning `` to make '' . *"
69,yes,g24p2_069,5ec7d50bc9e77c0008440e31,dev,9580,Akiem Hicks,3296f344461c,Akiem Jamar Hicks currently plays for the Chicago Bears .,"Akiem Jamar Hicks ( born November 16 , 1989 ) is an American football defensive tackle for the Chicago Bears of the National Football League ( NFL ) .","Akiem Jamar Hicks ( born November 16 , 1989 ) is an American football defensive tackle for the New England Patriots of the National Football League ( NFL ) ."
70,yes,g24p2_070,5ec284fcc9e77c0008415f9e,train,68207,Bernard Fanning,dd78db161a23,Bernard Fanning was a member of Australian band Powderfinger .,"He is best known as the lead singer and frontman of Australian alternative rock band Powderfinger since 1989.Born and raised in Toowong , Brisbane , Fanning was taught the piano by his mother at an early age .","He is best known as the lead singer and frontman of American alternative rock band Powderfinger since 1989.Born and raised in Toowong , Brisbane , Fanning was taught the piano by his mother at an early age ."
71,yes,g24p2_071,5ec284fec9e77c0008417488,train,114550,Yesterday -LRB-2019 film-RRB-,e02421a7d9e4,The film Yesterday was reviewed by 283 critics .,"On review aggregator website Rotten Tomatoes , the film holds an approval rating of 63 % based on 283 reviews , with an average rating of 6.4/10 .","On review aggregator website Rotten Tomatoes , the film holds an approval rating of 63 % based on 284 reviews , with an average rating of 6.4/10 ."
72,yes,g24p2_072,5ece9463c9e77c00084675e9,train,158022,IPad Mini 2,d7e18f4f17df,Ricardo Sosa II awarded the second-generation iPad Mini a rating of 4.5 out of 5 .,"Writing for TechRadar , Ricardo Sosa II awarded the second generation iPad Mini a rating of 4.5 out of 5 .","Writing for TechRadar , Gareth Beavis awarded the second generation iPad Mini a rating of 4.5 out of 5 ."
