seed_rank_within_source,source,role,item_id,stratum,direction,claim_sha,claim,evidence
13,fever,active,g24a_fever_27455,fever/REFUTES,decrease,b101ff970de8,Sikkim does not exhibit multiple climates.,"A part of the Eastern Himalaya, Sikkim is notable for its biodiversity, including alpine and subtropical climates, as well as being a host to Kanchenjunga, the highest peak in India and third highest on Earth."
14,fever,active,g24a_fever_108772,fever/SUPPORTS,increase,d9cf0716d449,"Emma Watson is a French-British actress, model, and activist.","Emma Charlotte Duerre Watson (born 15 April 1990) is a French-British actress, model, and activist."
15,fever,active,g24a_fever_82602,fever/REFUTES,decrease,e6608651f026,Touch My Body is a television show.,"""Touch My Body"" is a song by American singer and songwriter Mariah Carey, taken from her eleventh studio album, E = MC ² (2008)."
16,fever,active,g24a_fever_206730,fever/REFUTES,decrease,ab4785f58320,Samwell Tarly appears in The Lord of the Rings series.,"Samwell Tarly, called Sam, is a fictional character in the A Song of Ice and Fire series of fantasy novels by American author George R. R. Martin, and its television adaptation Game of Thrones."
17,fever,active,g24a_fever_147530,fever/REFUTES,decrease,656de0e4d7c0,Scandinavia does not include mountains.,Much of the Scandinavian mountains have an alpine tundra climate.
18,fever,active,g24a_fever_152680,fever/REFUTES,decrease,d9f2797f77d2,Carol Danvers only appears in German comic books.,Carol Danvers is a fictional character appearing in American comic books published by Marvel Comics.
19,fever,active,g24a_fever_114463,fever/REFUTES,decrease,4aa023eb3765,Bethany Hamilton's biopic was produced by Sean McNamara.,"In April 2011, the feature film Soul Surfer was released. Soul Surfer is a 2011 American biographical drama film directed by Sean McNamara, based on the 2004 autobiography Soul Surfer: A True Story of Faith, Family, and Fighting to Get Back on the Board by Bethany Hamilton about her life as a surfer after a horrific shark attack and her recovery."
20,fever,active,g24a_fever_161047,fever/REFUTES,decrease,9fcd00b67919,No Strings Attached was released on January 11.,"The film was released in the United States on January 21, 2011."
21,fever,active,g24a_fever_216585,fever/SUPPORTS,increase,6472ab4f20b7,Calcaneal spurs are detected by an imaging technique.,"Calcaneal spurs are typically detected by a radiographic examination (commonly referred to as an ""x-ray""). Radiography is an imaging technique using X-rays to view the internal structure of an object. To create the image, a beam of X-rays, a form of electromagnetic radiation, is produced by an X-ray generator and is projected toward the object. The generation of flat two dimensional images by this technique is called projectional radiography."
22,fever,active,g24a_fever_177964,fever/REFUTES,decrease,049947b616f3,It is normal to wear clothing while Trick-or-Treating.,"In Britain and Ireland the tradition of going house-to-house collecting food at Halloween goes back at least as far as the 16th century, as had the tradition of people wearing costumes at Halloween."
23,fever,active,g24a_fever_29556,fever/SUPPORTS,increase,689f905ba595,Yves Saint Laurent is a fashion brand.,"Yves Saint Laurent YSL ([iv sɜ̃n lɔ.ʁɑ̃]; also known as Saint Laurent Paris) is a French luxury fashion house founded by Yves Saint Laurent and his partner, Pierre Bergé."
24,fever,active,g24a_fever_173507,fever/REFUTES,decrease,06e53c32d8e8,Sancho Panza is a fictional character who appears in a novel penned by a writer from Spain who was born in 1616.,Sancho Panza [ˈsantʃo ˈpanθa] is a fictional character in the novel Don Quixote written by Spanish author Don Miguel de Cervantes Saavedra in 1605.
25,fever,active,g24a_fever_27269,fever/REFUTES,decrease,fe589b48f4ed,"Kung Fu Panda grossed $20,300,000 on opening day, in 2006.",Kung Fu Panda is a 2008 American computer-animated action comedy martial arts film produced by DreamWorks Animation and distributed by Paramount Pictures.
26,fever,active,g24a_fever_93646,fever/REFUTES,decrease,cfa5aaa7ef69,Carol Danvers is a fictional setting.,Carol Danvers is a fictional character appearing in American comic books published by Marvel Comics.
27,fever,active,g24a_fever_179816,fever/REFUTES,decrease,3fdafd62828b,"Vic Mensa graduated from college June 6, 1993.","Victor Kwesi Mensah (born June 6, 1993), better known by his stage name Vic Mensa, is a Grammy-nominated American rapper from Chicago, Illinois."
28,fever,active,g24a_fever_48404,fever/REFUTES,decrease,43ca7b7210e8,The SpongeBob SquarePants Movie is a horror film.,The SpongeBob SquarePants Movie is a 2004 American animated adventure comedy film based on the Nickelodeon television series SpongeBob SquarePants.
29,fever,active,g24a_fever_28867,fever/REFUTES,decrease,51229a0a47a0,The Big Country is only a television series.,"The Big Country is a 1958 American epic Western film directed by William Wyler and starring Gregory Peck, Jean Simmons, Carroll Baker, Charlton Heston and Burl Ives."
30,fever,active,g24a_fever_183456,fever/REFUTES,decrease,49f335f18300,"Henry III of France was succeeded by Henry IV, founder of the House of Bourbon.","In 1589, Jacques Clément, a Catholic fanatic, murdered Henry III, who was succeeded by the King of Navarre who, as Henry IV, would assume the throne of France after converting to Catholicism, and become the first French king of the House of Bourbon. The royal Bourbons originated in 1268, when the heiress of the lordship of Bourbon married a younger son of King Louis IX."
31,fever,active,g24a_fever_29550,fever/SUPPORTS,increase,c9e72f697f04,The Invisible Man was a science fiction horror film.,"The Invisible Man is an American 1933 Pre-Code science fiction horror film based on H. G. Wells' science fiction novel The Invisible Man, published in 1897, as adapted by R.C. Sherriff, Philip Wylie and Preston Sturges, whose work was considered unsatisfactory and who was taken off the project."
32,fever,active,g24a_fever_184054,fever/REFUTES,decrease,c796d0764090,Kenneth Lonergan is only a producer.,"Kenneth Lonergan (born October 16, 1962) is an American playwright, screenwriter, and director."
33,fever,active,g24a_fever_129420,fever/SUPPORTS,increase,dad64377f544,The Greek language has speakers in Greece.,"Greek (Modern Greek: ελληνικά [eliniˈka], elliniká, ""Greek"", ελληνική γλώσσα [eliniˈci ˈɣlosa], ellinikí glóssa, ""Greek language"") is an independent branch of the Indo-European family of languages, native to Greece and other parts of the Eastern Mediterranean."
34,fever,active,g24a_fever_89771,fever/SUPPORTS,increase,01d0a3cf3238,"Every Tuesday, TV Choice goes on sale.","It features weekly TV broadcast programming listings, running from Saturday to Friday, and goes on sale every Tuesday."
35,fever,active,g24a_fever_203053,fever/SUPPORTS,increase,f2311b150606,Akon is a singer.,"Aliaume Damala Badara Akon Thiam (born April 16, 1973), better known as Akon (pronounced [ˈeɪkɒn]), is an American singer, rapper, songwriter, businessman, record producer and actor of Senegalese descent."
36,fever,active,g24a_fever_191263,fever/SUPPORTS,increase,61b1c5b47f76,Jean-Michel Basquiat died at his art studio.,He died of a heroin overdose at his art studio at age 27.
37,fever,active,g24a_fever_155725,fever/SUPPORTS,increase,20303291acb7,Dissociative identity disorder (DID) is known as multiple personality disorder (MPD).,"Dissociative identity disorder (DID), also known as multiple personality disorder (MPD), is a mental disorder characterized by at least two distinct and relatively enduring identities or dissociated personality states."
38,fever,active,g24a_fever_220461,fever/SUPPORTS,increase,cd87ba1817a3,There is a book called the Doctrine and Covenants in the Church of Jesus Christ of Latter-day Saints.,"The church has an open canon which includes four scriptural texts: the Bible (both Old and New Testaments), the Book of Mormon, the Doctrine and Covenants, and the Pearl of Great Price."
39,fever,active,g24a_fever_138884,fever/SUPPORTS,increase,f85a3f402268,Yale University's alumni includes five billionaires.,"Yale has graduated many notable alumni, including five U.S. Presidents, 19 U.S. Supreme Court Justices, 20 living billionaires, and many heads of state."
40,fever,active,g24a_fever_137173,fever/REFUTES,decrease,377e087cdcdf,Therasia is the smallest island in the volcanic island group of Santorini.,"Therasia, also known as Thirasía, is an island in the volcanic island group of Santorini in the Greek Cyclades. It lies north-west of Nea Kameni, a small island formed in recent centuries by volcanic activity and thus marking the centre of the island group. Therasia is the second largest island of the group, the largest by far being Thera."
41,fever,active,g24a_fever_105835,fever/SUPPORTS,increase,9d454eeea436,Hedda Gabler's world premiere was in Munich.,"Ibsen was present at the world premiere, which took place on 31 January 1891 at the Residenztheater in Munich."
42,fever,active,g24a_fever_222170,fever/SUPPORTS,increase,404a056bd471,Rehab won an award.,"It won three Grammy Awards at the 50th ceremony, including Record of the Year, Song of the Year, and Best Female Pop Vocal Performance."
43,fever,active,g24a_fever_22096,fever/SUPPORTS,increase,15b07d719718,Creedence Clearwater Revival was active in the late 1960s and early 1970s.,"Creedence Clearwater Revival, often informally abbreviated to Creedence or CCR, was an American rock band active in the late 1960s and early 1970s."
44,fever,active,g24a_fever_62355,fever/REFUTES,decrease,6ddc7e7922b9,Annette Badland has yet to be in a soap opera.,"She has played Margaret Blaine in the BBC science fiction series Doctor Who, Doomsday Dora in The Sparticle Mystery, Birdie Henshall in the drama series Cutting It, Mavis in season 6 of Skins, Ursula Crowe in children's science fiction/fantasy series Wizards vs Aliens, and Babe Smith in soap opera EastEnders. EastEnders is a long-running British soap opera created by Julia Smith and Tony Holland which has been broadcast on BBC One since 1985."
45,fever,active,g24a_fever_91767,fever/REFUTES,decrease,707f1124b55d,Luke Cage did not appear in a comic book series.,"Luke Cage, also known as Power Man (real name Carl Lucas), is a fictional superhero appearing in American comic books published by Marvel Comics."
46,fever,active,g24a_fever_94918,fever/REFUTES,decrease,02c6fd8b1ac6,Helmand Province is in Iraq.,"Helmand ([ˈhɛlmənd]; Pashto/Dari: هلمند), also known as Hillmand, and, in ancient times, as Hermand and Hethumand is one of the 34 provinces of Afghanistan, in the south of the country."
47,fever,active,g24a_fever_148610,fever/REFUTES,decrease,bdc3db3bbf26,Uranium-235 was discovered by a French-American physicist.,"It was discovered in 1935 by Arthur Jeffrey Dempster. Arthur Jeffrey Dempster (August 14, 1886 -- March 11, 1950) was a Canadian-American physicist best known for his work in mass spectrometry and his discovery of the uranium isotope 235U."
48,fever,active,g24a_fever_112650,fever/REFUTES,decrease,8fb613726bd9,Rabies is non-communicable.,Rabies is spread when an infected animal scratches or bites another animal or human.
49,fever,active,g24a_fever_149436,fever/REFUTES,decrease,c086bddc5abd,Maximum Overdrive was directed by Christopher Nolan.,Maximum Overdrive is a 1986 American science fiction action horror comedy film written and directed by Stephen King.
50,fever,active,g24a_fever_96576,fever/SUPPORTS,increase,7eb4a58e7616,Alberto Contador was found guilty of an offense.,"He initially also won the 2010 Tour de France with this team, and the 2011 Giro d'Italia with team Saxo Bank-SunGard, only to be stripped of these titles later having been found guilty of a doping offence."
51,fever,active,g24a_fever_128807,fever/SUPPORTS,increase,17eff317f5eb,The Quiet stars an actress.,"The Quiet is a 2005 American drama thriller film directed by Jamie Babbit and starring Camilla Belle and Elisha Cuthbert. Camilla Belle Routh (born October 2, 1986) is an American actress. She is best known for her roles as Sydney Miller in Rip Girls and Lizzy Buscana in Back to the Secret Garden. Elisha Ann Cuthbert (born November 30, 1982) is a Canadian actress and model. She became known for playing Kim Bauer in the series 24, Darcie Goldberg in the college comedy Old School, Danielle in the teen comedy film The Girl Next Door, and Carly Jones in the 2005 remake of House of Wax. In 2013, Maxim magazine named her ""TV's most beautiful woman"". At the age of 14, Cuthbert made her feature film debut in the 1997 family-drama Dancing on the Moon. Her first major lead role came in the 1998 drama film Airspeed (No Control) alongside Joe Mantegna. In 2001, she starred in the movie Lucky Girl, in which she received her first award, the Gemini Awards, but her career began in earnest in the 2000s when she played Kim Bauer, daughter of Jack Bauer in the action series 24. Subsequently, Cuthbert appeared in the lead role in the films The Quiet (2005) and Captivity (2007). From 2011 to 2013, Cuthbert starred as Alex Kerkovich in the three seasons of the ABC comedy Happy Endings."
52,fever,active,g24a_fever_5574,fever/SUPPORTS,increase,ad6b3ca075c3,Michael B. Jordan is American.,"Michael Bakari Jordan (born February 9, 1987) is an American actor."
53,fever,active,g24a_fever_95056,fever/SUPPORTS,increase,8145b3eb2e4b,Eddie Guerrero's problems were written into his storylines.,"He experienced various substance abuse problems, including alcoholism and an addiction to painkillers; these real-life issues were sometimes incorporated into his storylines."
54,fever,active,g24a_fever_69030,fever/SUPPORTS,increase,b8d5192a3795,Floyd Mayweather Jr. has a record 26 world title wins without a loss from boxing professionally.,"Widely considered to be one of the greatest boxers of all time, undefeated as a professional, and a five-division world champion, Mayweather won fifteen world titles and the lineal championship in four different weight classes (twice at welterweight). He finished his career with a record of 26 wins without a loss or draw in world title fights (10 by KO); 23 wins (9 KOs) in lineal title fights; 24 wins (7 KOs) against former or current world titlists; 12 wins (3 KOs) against former or current lineal champions; and 2 wins (1 KO) against International Boxing Hall of Fame inductees."
55,fever,active,g24a_fever_31581,fever/REFUTES,decrease,9814287664cd,Menace II Society is a TV show.,"Menace II Society (pronounced Menace to Society) is a 1993 American hood drama thriller film directed by Allen and Albert Hughes in their directorial debut, and starring Tyrin Turner, Jada Pinkett, Larenz Tate and Samuel L. Jackson."
56,fever,active,g24a_fever_106404,fever/SUPPORTS,increase,62d7b90daf53,"Secret and technologically advanced airplanes were produced in Burbank, California.","It was the location of Lockheed's Skunk Works, which produced some of the most secret and technologically advanced airplanes, including the U-2 spy planes that uncovered the Soviet Union missile components in Cuba in October 1962."
57,fever,active,g24a_fever_47322,fever/REFUTES,decrease,8cd5a210c5c8,Kendall Jenner is unphotogenic.,"After working in commercial print ad campaigns and photoshoots, Jenner had breakout seasons in 2014 and 2015, walking the runways for high fashion designers during the New York, Milan, and Paris Fashion Weeks."
58,fever,active,g24a_fever_115028,fever/REFUTES,decrease,22b37e3909ac,English people are descended from no other peoples.,"Historically, the English population is descended from several peoples -- the earlier Britons (or Brythons) and the Germanic tribes that settled in Britain following the withdrawal of the Romans, including Angles, Saxons, Jutes and Frisians."
59,fever,active,g24a_fever_202789,fever/REFUTES,decrease,685c4ede4efb,Despicable Me 2 was produced for Universal Pictures in 2014.,Despicable Me 2 is a 2013 American 3D computer-animated comedy film and the sequel to the 2010 animated film Despicable Me.
60,fever,active,g24a_fever_50406,fever/SUPPORTS,increase,d0472eaf04c4,West Virginia borders Pennsylvania.,"It is bordered by Virginia to the southeast, Kentucky to the southwest, Ohio to the northwest, Pennsylvania to the north (and, slightly, east), and Maryland to the northeast."
61,fever,active,g24a_fever_168073,fever/SUPPORTS,increase,0b1451ca2200,Jean-Jacques Dessalines was independent Hati's first ruler.,Jean-Jacques Dessalines ([ʒɑ̃ ʒak dɛs.salin]; 20 September 1758 -- 17 October 1806) was a leader of the Haitian Revolution and the first ruler of an independent Haiti under the 1805 constitution.
62,fever,active,g24a_fever_223491,fever/REFUTES,decrease,d94c3ec53d42,Prague Castle is closed to visitors.,The castle is among the most visited tourist attractions in Prague attracting over 1.8 million visitors annually.
63,fever,active,g24a_fever_108894,fever/REFUTES,decrease,30c78ae6b8eb,West Ham United F.C. was not founded in 1895.,The club was founded in 1895 as Thames Ironworks and reformed in 1900 as West Ham United.
64,fever,active,g24a_fever_56051,fever/REFUTES,decrease,abf9f634ddab,Morgan Fairchild exclusively acts in film.,"Fairchild has also performed in theater and played guest roles in television comedies, including Murphy Brown (for which she was nominated for a Primetime Emmy Award for Outstanding Guest Actress in a Comedy Series), Roseanne, Cybill, and Friends."
65,fever,active,g24a_fever_38107,fever/REFUTES,decrease,301e43643033,Byron Howard sang in the film Zootopia.,"He is best known as the co-director of Bolt (2008), Tangled (2010), and Zootopia (2016), and a supervising animator on Lilo & Stitch (2002) and Brother Bear (2003)."
66,fever,active,g24a_fever_102352,fever/SUPPORTS,increase,636e27ecfe4a,The Battle of France was fought during the Second World War.,"The Battle of France, also known as the Fall of France, was the German invasion of France and the Low Countries during the Second World War."
67,fever,active,g24a_fever_114360,fever/SUPPORTS,increase,dc2437783c20,Daredevil is not based on the Marvel Comics character of the same name.,"Marvel's Daredevil, or simply Daredevil, is an American web television series created for Netflix by Drew Goddard, based on the Marvel Comics character of the same name."
68,fever,active,g24a_fever_9532,fever/SUPPORTS,increase,d1be65d49808,Younger premiered in 2015.,"The series premiered on March 31, 2015 on TV Land and received generally positive reviews from critics."
69,fever,active,g24a_fever_53020,fever/SUPPORTS,increase,54e944bcad65,Sebastian Stan was nominated for a Critics' Choice Television Award.,His role in Political Animals earned him a nomination for the Critics' Choice Television Award for Best Supporting Actor in a Movie/Miniseries.
70,fever,active,g24a_fever_114387,fever/SUPPORTS,increase,f6094d1ae7e4,Two and a Half Men is a television sitcom.,"Two and a Half Men is an American television sitcom that originally aired on CBS for twelve seasons from September 22, 2003 to February 19, 2015."
71,fever,active,g24a_fever_204643,fever/REFUTES,decrease,5e5c9ada6001,Rio's sequel is a 2014 book.,"A sequel, Rio 2, was released on April 11, 2014. Rio 2 is a 2014 American 3D computer-animated musical comedy film produced by Blue Sky Studios and directed by Carlos Saldanha. It is the sequel to the 2011 computer-animated film Rio and the studio's first film to have a sequel outside of their existing Ice Age franchise. Featuring the returning voices of Jesse Eisenberg, Anne Hathaway, will.i.am, Jamie Foxx, George Lopez, Tracy Morgan, Jemaine Clement, Leslie Mann, Rodrigo Santoro, and Jake T. Austin, the film was released internationally on March 20, 2014, and on April 11, 2014, in American theaters."
72,fever,active,g24a_fever_5560,fever/SUPPORTS,increase,e72291970d5b,Alberto Contador was stripped of his wins.,"He initially also won the 2010 Tour de France with this team, and the 2011 Giro d'Italia with team Saxo Bank-SunGard, only to be stripped of these titles later having been found guilty of a doping offence."
73,fever,active,g24a_fever_73372,fever/SUPPORTS,increase,b8a058d06943,Heath Ledger won an award posthumously.,"Posthumously he shared the 2007 Independent Spirit Robert Altman Award with the rest of the ensemble cast, the director, and the casting director for the film I 'm Not There, which was inspired by the life and songs of American singer-songwriter Bob Dylan."
74,fever,active,g24a_fever_107503,fever/REFUTES,decrease,bb22dcd55431,Harold Macmillan avoided political involvement.,"Maurice Harold Macmillan, 1st Earl of Stockton, (10 February 1894 -- 29 December 1986) was a British Conservative politician and statesman who served as the Prime Minister of the United Kingdom from 10 January 1957 to 19 October 1963."
75,fever,active,g24a_fever_100832,fever/SUPPORTS,increase,19add41c2227,Eric Church is a person.,"Kenneth Eric Church (born May 3, 1977) is an American country music singer and songwriter."
76,fever,active,g24a_fever_222730,fever/SUPPORTS,increase,c811d52df385,Vedic Sanskrit is the language used in the Vedas.,"It is the ancient language of the Vedas of Hinduism, texts compiled over the period of the mid-2nd to mid-1st millennium BCE."
77,fever,active,g24a_fever_222721,fever/SUPPORTS,increase,1f6077047954,Vedic Sanskrit is the language of certain compiled texts.,"It is the ancient language of the Vedas of Hinduism, texts compiled over the period of the mid-2nd to mid-1st millennium BCE."
78,fever,active,g24a_fever_195912,fever/REFUTES,decrease,4273097bfa4f,Frozen is a film from 2003.,Frozen is a 2013 American 3D computer-animated musical fantasy film produced by Walt Disney Animation Studios and released by Walt Disney Pictures.
79,fever,active,g24a_fever_10451,fever/SUPPORTS,increase,a39681cb7ed4,David Attenborough directed programs for BBC Television.,"He is also a former senior manager at the BBC, having served as controller of BBC Two and director of programming for BBC Television in the 1960s and 1970s."
80,fever,active,g24a_fever_201748,fever/REFUTES,decrease,8eeaf7ef444f,North Vietnam existed from 1945 to 1978.,"North Vietnam, officially the Democratic Republic of Vietnam (DRV), was a state in Southeast Asia which existed from 1945 to 1976."
81,fever,active,g24a_fever_92374,fever/SUPPORTS,increase,26a2b5efdc7d,The Blue Dog Coalition was formed in the United States.,"The Blue Dog Coalition, commonly known as the Blue Dogs or Blue Dog Democrats, is a caucus of United States Congressional Representatives from the Democratic Party who identify as conservative Democrats."
82,fever,active,g24a_fever_107654,fever/REFUTES,decrease,d2a4c51cc8e0,Ned Stark is the dishonorable lord of Winterfell.,"Introduced in 1996's A Game of Thrones, Ned is the honorable lord of Winterfell, an ancient fortress in the North of the fictional continent of Westeros."
83,fever,active,g24a_fever_122744,fever/REFUTES,decrease,1ecad49cfa6f,Thomas Jefferson did not retire from public office.,He founded the University of Virginia after retiring from public office.
84,fever,active,g24a_fever_202928,fever/REFUTES,decrease,b9d33d8bbb13,Avenged Sevenfold is the fourth live album of Avenged Sevenfold.,"Avenged Sevenfold is the eponymous fourth studio album by American heavy metal band Avenged Sevenfold, released on October 30, 2007 by Warner Bros.."
85,fever,active,g24a_fever_4824,fever/REFUTES,decrease,fce08989d8df,"Watertown, Massachusetts is in France.","The Town of Watertown is a city in Middlesex County, Massachusetts, United States."
86,fever,active,g24a_fever_169985,fever/REFUTES,decrease,4da4d423074f,The Brat Pack is an award given to a group of young actors.,The Brat Pack is a nickname given to a group of young actors who frequently appeared together in teen-oriented coming-of-age films in the 1980s.
87,fever,active,g24a_fever_2616,fever/SUPPORTS,increase,63d2b00261c2,Eddie Guerrero experienced drug addiction.,"He experienced various substance abuse problems, including alcoholism and an addiction to painkillers; these real-life issues were sometimes incorporated into his storylines. Substance abuse, also known as drug abuse, is a patterned use of a drug in which the user consumes the substance in amounts or with methods which are harmful to themselves or others, and is a form of substance-related disorder."
88,fever,active,g24a_fever_216595,fever/SUPPORTS,increase,dc8ea90d3936,Being detected is something that is able to be done by calcaneal spurs.,"Calcaneal spurs are typically detected by a radiographic examination (commonly referred to as an ""x-ray"")."
89,fever,active,g24a_fever_15834,fever/SUPPORTS,increase,42d99cc703a2,Shane Black was born on the 16th.,"Shane Black (born December 16, 1961) is an American screenwriter, director, producer and actor, known for writing the 1987 action film hit Lethal Weapon, and his directorial debut with the film Kiss Kiss Bang Bang in 2005."
90,fever,active,g24a_fever_187119,fever/REFUTES,decrease,8ae3ca53e51a,Eva Mendes was born in 1999.,"Eva de la Caridad Mendez (born March 5, 1974) is an American actress, model and businesswoman."
91,fever,active,g24a_fever_133233,fever/SUPPORTS,increase,0811613d0a0d,Touch My Body was released in 2008.,"""Touch My Body"" is a song by American singer and songwriter Mariah Carey, taken from her eleventh studio album, E = MC ² (2008)."
92,fever,active,g24a_fever_74961,fever/SUPPORTS,increase,6b03ea5fd017,Aestheticism is a movement.,"Aestheticism (also the Aesthetic Movement) is an intellectual and art movement supporting the emphasis of aesthetic values more than social-political themes for literature, fine art, music and other arts."
93,fever,active,g24a_fever_136578,fever/REFUTES,decrease,f52cbd5bfaed,"Phoenix, Arizona is not in the southwestern United States.","Phoenix ([ˈfiːnᵻks]) is the capital and most populous city of the U.S. state of Arizona. Arizona ([ɛərᵻˈzoʊnə, _ ærᵻ -]) (Hoozdo Hahoodzo [xòːztò xɑ̀xòːtsò] O'odham: Alĭ ṣonak [ˡaɺi ˡʃonak]) is a state in the southwestern region of the United States."
94,fever,active,g24a_fever_122650,fever/SUPPORTS,increase,00b4ee83debc,Craig David was nominated for an award.,"David has been nominated for thirteen Brit Awards: four times for Best British Male, and twice received a Grammy Award nomination for Best Male Pop Vocal Performance."
95,fever,active,g24a_fever_105526,fever/REFUTES,decrease,1abe967348b5,P.S I Love You (film) is incapable of being a drama film.,P.S. I Love You is a 2007 American drama film directed by Richard LaGravenese.
96,fever,active,g24a_fever_4819,fever/REFUTES,decrease,09a0ba281c19,English people are unconnected to the Romans.,"Historically, the English population is descended from several peoples -- the earlier Britons (or Brythons) and the Germanic tribes that settled in Britain following the withdrawal of the Romans, including Angles, Saxons, Jutes and Frisians."
97,fever,active,g24a_fever_44156,fever/REFUTES,decrease,96ba69755fa8,Chaka Khan only went into politics.,"Chaka Khan (born Yvette Marie Stevens, March 23, 1953) is an American recording artist whose career has spanned five decades, beginning in the 1970s as the frontwoman and focal point of the funk band Rufus."
98,fever,active,g24a_fever_105813,fever/REFUTES,decrease,c0812fb160bd,"Alexandra Daddario was born on March 22, 1986.","Alexandra Anna Daddario (born March 16, 1986) is an American actress."
99,fever,active,g24a_fever_227129,fever/SUPPORTS,increase,9d24dd942480,The New Orleans Pelicans are a part of the Western Conference of the NBA.,The Pelicans compete in the National Basketball Association (NBA) as a member club of the league's Western Conference Southwest Division.
100,fever,active,g24a_fever_152133,fever/REFUTES,decrease,1fec5d436245,The Dodo has been depicted with green feet.,"It has been depicted with brownish-grey plumage, yellow feet, a tuft of tail feathers, a grey, naked head, and a black, yellow, and green beak."
101,fever,active,g24a_fever_28525,fever/REFUTES,decrease,a05f1b12a242,Zoroastrianism has no major features.,"Major features of Zoroastrianism, such as messianism, heaven and hell, and free will have, some believe, influenced other religious systems, including Second Temple Judaism, Gnosticism, Christianity, and Islam."
102,fever,active,g24a_fever_153543,fever/SUPPORTS,increase,dc398ded3533,Louis Malle worked in the French film industry.,"Malle worked in both French cinema and Hollywood, and he produced both French and English language films."
103,fever,active,g24a_fever_13212,fever/REFUTES,decrease,7e00f2d4d977,Tennessee is the smallest American state.,Tennessee is the 36th largest and the 16th most populous of the 50 United States.
104,fever,active,g24a_fever_1577,fever/SUPPORTS,increase,b1ff4b42858e,The Blue Dog Coalition is made up of politicians.,"The Blue Dog Coalition, commonly known as the Blue Dogs or Blue Dog Democrats, is a caucus of United States Congressional Representatives from the Democratic Party who identify as conservative Democrats."
105,fever,active,g24a_fever_88251,fever/REFUTES,decrease,1f8d63c94456,Yale University has had few notable alumni.,"Yale has graduated many notable alumni, including five U.S. Presidents, 19 U.S. Supreme Court Justices, 20 living billionaires, and many heads of state."
