seed_rank,active_200,cfb_id,case_id,split,first_lineno,page,claim_sha,claim,evidence_s,evidence_r
28,yes,g24cfb_028,5ede0730c9e77c00084d354c,train,153948,HAL 9000,66e2d0e923de,HAL started working after 1998 .,"In the context of the series , HAL became operational on 12 January 1999 at the HAL Laboratories in Urbana , Illinois as production number 3 ; in the film 2001 , the activation year was 1992 and 1991 in earlier screenplays .","In the context of the series , HAL became operational on 12 January 1997 at the HAL Laboratories in Urbana , Illinois as production number 3 ; in the film 2001 , the activation year was 1992 and 1991 in earlier screenplays ."
29,yes,g24cfb_029,5eb29885c9e77c0008d92721,train,10890,Fifty Shades Darker -LRB-film-RRB-,e88352c40c2e,Fifty Shades Darker ( film ) was reviewed by 163 critics on Rotten Tomatoes .,"On review aggregation website Rotten Tomatoes , the film has an approval rating of 10 % based on 163 reviews , with an average rating of 3.3/10 .",On Rotten Tomatoes the film has an approval rating of 10 % based on 164 reviews with an average rating of 3.3/10 .
30,yes,g24cfb_030,5ed4de08c9e77c000848a356,train,176689,Rocky IV,9667c0a771ac,"In the film Rocky IV , Rocky wishes his son a Merry Christmas on Christmas Eve .","Rocky ends his speech by wishing his son a Merry Christmas , and throws his arms into the air in victory as the crowd applauds on Christmas Eve.","Rocky ends his speech by wishing his son a Merry Christmas , and throws his arms into the air in victory as the crowd applauds on Christmas Day."
31,yes,g24cfb_031,5ebe6f31c9e77c000840905a,train,79568,Fozzy,c7d219338145,Fozzy is a hard rock band .,"Fozzy is an American hard rock band formed in Atlanta , Georgia , in 1999 by lead singer Chris Jericho and guitarist Rich Ward .","Fozzy is an American heavy metal band formed in Atlanta , Georgia , in 1999 by lead singer Chris Jericho and guitarist Rich Ward ."
32,yes,g24cfb_032,5ece9462c9e77c0008466e36,train,173725,Pitch Perfect,9fb50623f57d,Shelley Regner plays the role of Jessica in Pitch Perfect .,"Shelley Regner as Jessica , a beatboxer . *","Shelley Regner as Ashley , a beatboxer . *"
33,yes,g24cfb_033,5ec284fcc9e77c0008415bac,dev,13465,Pierce the Veil,9fa4c722681e,Pierce the Veil is an American rock band .,"Pierce the Veil is an American rock band from San Diego , California .","Pierce the Veil is an American post-hardcore band from San Diego , California ."
34,yes,g24cfb_034,5ec284fec9e77c000841728d,train,97462,Phyno,39262fe82db7,Phyno studied at the Institute of Management and Technology .,"He studied public administration at the Institute of Management and Technology in Enugu , and started profiting from music during his second year at IMT .","He studied public administration at Harvard university , and started profiting from music during his second year at Harvard ."
35,yes,g24cfb_035,5eafed81c9e77c0009ce193a,dev,1374,Kaththi Sandai,9f1db16f32d0,The film Kaththi Sandai was loved by critics .,Kaththi Sandai received positive reviews from critics.,Kaththi Sandai received negative reviews from critics.
36,yes,g24cfb_036,5ed4de09c9e77c000848a9c8,train,130620,A Day to Remember,ffa75df42a1d,A Day to Remember are set to release their seventh album sometimes in 2019 .,They 're set to release their seventh album sometime in 2019 and will be their first release under Fueled by Ramen.,They 're set to release their seventh album You 're Welcome sometime in late 2019 and will be their first release under Fueled by Ramen.
37,yes,g24cfb_037,5ebbf32bc9e77c00092958c2,dev,6450,2019–20 coronavirus pandemic,7efa01cdc97b,Less than eight deaths have occurred in the 2019-20 coronavirus pandemic .,Six deaths have occurred and there is evidence of human-to-human spread .,Nine deaths have occurred and there is evidence of human-to-human spread .
38,yes,g24cfb_038,5ec55991c9e77c000842dc2c,train,88317,Kendrick Norton,5fff702e1612,Kendrick Norton used to play for the Miami Dolphins .,"Kendrick Norton ( born June 7 , 1997 ) is a former American football defensive tackle who last played for the Miami Dolphins of the National Football League ( NFL ) .","Kendrick Norton ( born June 7 , 1997 ) is an American football defensive tackle for the Miami Dolphins of the National Football League ( NFL ) ."
39,yes,g24cfb_039,5ec284fec9e77c0008417091,train,64353,Amy Jackson,20a13b998ccb,Amy Jackson is an English-Indian actress .,Amy Jackson ( born 31 January 1992 ) is an English-Indian film actress and model best known for her work in Indian films .,Amy Jackson ( born 31 January 1992 ) is an English film actress and model best known for her work in Indian films .
40,yes,g24cfb_040,5ed4de03c9e77c00084893d7,train,146720,Dogville,698a92bb842c,Dogville ranks lower than # 33 among the most acclaimed films of the 21st century .,"According to aggregator They Shoot Pictures , Do n't They '' , it is the 35th most acclaimed film of the same time period.21st Century ( Full List ) American director and screenwriter Quentin Tarantino has named the film as one of the 20 best to have been released during the time of his active career as a director ; Quentin Tarantino 's Top 20 Favorite Films he said that if it had been written for the stage , von Trier would have won a Pulitzer Prize.  ? v=Zv0WlHbBhdc","According to aggregator They Shoot Pictures , Do n't They '' , it is the 32nd most acclaimed film of the same time period.21st Century ( Full List ) American director and screenwriter Quentin Tarantino has named the film as one of the 20 best to have been released during the time of his active career as a director ; Quentin Tarantino 's Top 20 Favorite Films he said that if it had been written for the stage , von Trier would have won a Pulitzer Prize.  ? v=Zv0WlHbBhdc"
41,yes,g24cfb_041,5ee39417c9e77c0008cce460,train,229393,Adam West,9158c4d15cc5,The game Golden Nugget was released on PlayStation before 1997 .,"In 1996 , Virgin Interactive released the gambling simulation game Golden Nugget on PlayStation .","In 1997 , Virgin Interactive released the gambling simulation game Golden Nugget ."
42,yes,g24cfb_042,5ee39418c9e77c0008ccf595,train,245647,The Golden Girls,97d54d4d6b76,Charles Levin plays the character Raifa Rushdhy in the show The Golden Girls .,"The first episode featured a gay houseboy named raifa Rushdhy ( played by Charles Levin ) , but the role was dropped before the second episode .","The first episode featured a gay houseboy named coco ( played by Charles Levin ) , but the role was dropped before the second episode ."
43,yes,g24cfb_043,5ed4de08c9e77c000848a4b0,dev,26720,Wojciech Szczęsny,5cab09113f81,Wojciech Szczęsny plays for Italian club Juventus .,Wojciech Tomasz Szczęsny ( ; born 18 April 1990 ) is a Polish professional footballer who plays as a goalkeeper for Italian club Juventus and the Poland national team .,Wojciech Tomasz Szczęsny ( ; born 18 April 1990 ) is a Polish professional footballer who plays as a goalkeeper for Italian club Piemonte Calcio and the Poland national team .
44,yes,g24cfb_044,5eb29882c9e77c0008d921dd,test,1093,House music,4f068beda527,"As of 2016 , House Music remains famous globally .","As of 2016 , house music remains popular in both clubs and in the mainstream pop scene while retaining a foothold on underground scenes across the globe.","As of 2017 , house music remains popular in both clubs and in the mainstream pop scene while retaining a foothold on underground scenes across the globe."
45,yes,g24cfb_045,5ec7d50dc9e77c0008441750,train,88078,Katie McGrath,ee04d3a22663,Katie McGrath 's brother Rory is an online media manager and Sean is a producer .,"She has two older brothers , Rory , an online media manager , and Sean , who is a post-production producer .","She has two older brothers , Sean , an online media manager , and Rory , who is a post-production producer ."
46,yes,g24cfb_046,5ed4de03c9e77c000848942a,train,176220,Rico Nasty,dbbb2a461e74,Maria-Cecilia Simone Kelly 's stage name is Rico Dusty .,"Maria-Cecilia Simone Kelly ( born May 7 , 1997 ) , known professionally as Rico Dusty , is an American rapper , songwriter and record producer .","Maria-Cecilia Simone Kelly ( born May 7 , 1997 ) , known professionally as Rico Nasty , is an American rapper , songwriter and record producer ."
47,yes,g24cfb_047,5ee39418c9e77c0008ccf1f0,train,234836,George R. R. Martin,bc56094f578e,George Raymond Martin 's confirmation name is Railroad .,"The 2011 TIME 100 : George R.R . Martin , John Hodgman , April 21 , 2011 [  ,29569,2066367,00.html The 2011 TIME 100 : Full George Railroad Martin ( he adopted the confirmation name Railroad at 13 years old ) was born on September 20 , 1948 , in Bayonne , New Jersey , the son of longshoreman Railroad Collins Martin and his wife Margaret Brady Martin .","The 2011 TIME 100 : George R.R . Martin , John Hodgman , April 21 , 2011 [  ,29569,2066367,00.html The 2011 TIME 100 : Full George Raymond Martin ( he adopted the confirmation name Richard at 13 years old ) was born on September 20 , 1948 , in Bayonne , New Jersey , the son of longshoreman Raymond Collins Martin and his wife Margaret Brady Martin ."
48,yes,g24cfb_048,5ee393b6c9e77c0008ccbaed,dev,38020,2020 coronavirus pandemic in Italy,e520d61f3608,Cases of COVID-19 from eleven countries were originated from Italy .,"As of 26 February , recorded cases from eleven different countries appear to have originated from Italy . ; Algeria","As of 26 February , recorded cases from twelve different countries appear to have originated from Italy . ; Algeria"
49,yes,g24cfb_049,5ed4de06c9e77c0008489e5c,train,178873,She Wants Revenge,b4d55c3fcb9b,The band She Wants Revenge performs Alternative rock music .,"She Wants Revenge is an American Alternative rock band , based in San Fernando Valley , California .","She Wants Revenge is an American rock band , based in San Fernando Valley , California ."
50,yes,g24cfb_050,5eb9573bc9e77c0008fa1ae5,train,31939,NXT TakeOver,52530cd754ed,The TakeOver war event is dubbed as `` WarGames '' .,"`` Since 2017 , the TakeOver event preceding Survivor Series has been dubbed `` '' WarGames '' '' , with its main event featuring the titular match.  ''","`` Beginning in 2017 , the TakeOver event preceding Survivor Series has been branded as `` '' NXT TakeOver : WarGames '' '' , and features the titular WarGames match as its main event.  ''"
51,yes,g24cfb_051,5ed7ad00c9e77c00084a60c7,train,167787,Mehdi Taremi,6afb43c8076c,Mehdi Taremi plays for the football club Al-Gharafa .,"Mehdi Taremi ( , born 18 July 1992 ) is an Iranian footballer who plays as a forward for Al-Gharafa and the Iran national team .","Mehdi Taremi ( , born 18 July 1992 ) is an Iranian footballer who plays as a forward for persepolise F C and the Iran national team ."
52,yes,g24cfb_052,5ebe6f30c9e77c0008408640,train,47625,J.D. -LRB-Scrubs-RRB-,4f1dbc23d2a9,J.D . 's full name in Scrubs is Jonathan Michael Dorian .,"Jonathan Michael `` J.D . '' Dorian , M.D. , is a fictional character on the American comedy-drama Scrubs , played by Zach Braff .","John Michael `` J.D . '' Dorian , M.D. , is a fictional character on the American comedy-drama Scrubs , played by Zach Braff ."
53,yes,g24cfb_053,5ed7ad03c9e77c00084a73d2,train,135577,Aston,406dd5d95b89,There are less than three secondary schools in Aston .,There are two secondary schools in Aston : King Edward VI Aston and Aston Manor School .,"There are three secondary schools in Aston : Broadway School ( Broadway has also got a campus in Perry Barr ) , King Edward VI Aston and Aston Manor School ."
54,yes,g24cfb_054,5ed4de03c9e77c0008489343,train,129546,2018–19 Golden State Warriors season,f3d31823e7fd,Portland Trail Blazers lost the 2018-2019 Western Conference Finals 2-0 .,"Golden State curently lead the Portland Trail Blazers 2–0 in the Western Conference Finals , in their fifth consecutive appearance .","Golden State curently lead the Portland Trail Blazers 3-0 in the Western Conference Finals , in their fifth consecutive appearance ."
55,yes,g24cfb_055,5ece9464c9e77c0008467ac5,train,219607,Justin Blackmon,dfd1d0312298,Justin Blackmon plays for the Dublin Shamrocks .,"Justin Carl Blackmon ( born January 9 , 1990 ) is an American football wide receiver for the Dublin Shamrocks of the National Football League ( NFL ) .","Justin Carl Blackmon ( born January 9 , 1990 ) is an American football wide receiver for the Jacksonville Jaguars of the National Football League ( NFL ) ."
56,yes,g24cfb_056,5ed4de02c9e77c00084890be,test,21025,Nate Ebner,5aa4a0e4bf78,Nate Ebner´s team played against the Seattle Seahawks in the 2014 Super Bowl .,"He has played for the team since 2012 , winning Super Bowl XLIX against the Seattle Seahawks in 2014 and Super Bowl LI against the Atlanta Falcons in 2017.","He has played for the team since 2012 , winning Super Bowl XLIX against the Seattle Seahawks in 2015 and Super Bowl LI against the Atlanta Falcons in 2017."
57,yes,g24cfb_057,5ec5598bc9e77c000842c01b,test,8542,Beryllium,b74b0b25428e,The electron configuration of Beryllium affects its decay rate .,This makes its decay rate dependent to a measurable degree upon its electron configuration – a rare occurrence in nuclear decay .,This makes its decay rate dependent to a measurable degree upon its chemical surroundings – a rare occurrence in nuclear decay .
58,yes,g24cfb_058,5ee3932bc9e77c0008cca227,train,196960,2020 coronavirus pandemic in California,6f294a1be49b,"Universal Studios Hollywood is scheduled to reopen before April 10 , 2020 .",Universal Studios Hollywood in Los Angeles – Closed from March 14 to 31.,"Universal Studios Hollywood in Los Angeles – Closed from March 14 to April 19 , 2020."
59,yes,g24cfb_059,5ec55989c9e77c000842ba10,train,90575,Logan Lucky,6dc185f00426,"In Lucky Logan , White crashes during the Coca-Cola 600 as a result of drinking Chilblain 's energy drink .","However , due to the unwillingness of the prison authorities to disclose the extent of the riot , due to the refuting of Chilblain 's eyewitness account by White ( disgruntled because he crashed during the Coca-Cola 600 because he drank some of Chilblain 's energy drink as part of the sponsorship deal ) , and due to the Speedway administration 's satisfaction with their insurance settlement , the case is closed after six months .","However , due to the unwillingness of the prison authorities to disclose the extent of the riot , due to the refuting of Chilblain 's eyewitness account by White ( disgruntled because he crashed during the Coca-Cola 600 because he drank some of Chilblain 's Champagne as part of the sponsorship deal ) , and due to the Speedway administration 's satisfaction with their insurance settlement , the case is closed after six months ."
60,yes,g24cfb_060,5ee39416c9e77c0008ccda7c,train,235422,Harry Potter -LRB-film series-RRB-,39456f264221,David Yates directed more than four installments of the Harry Potter film series .,"A spin-off prequel series will consist of five films , starting with Fantastic Beasts and Where to Find Them ( 2016 ) , again directed by David Yates , who directed the final five films of the original series .","A spin-off prequel series will consist of five films , starting with Fantastic Beasts and Where to Find Them ( 2016 ) , again directed by David Yates , who directed the final four films of the original series ."
61,yes,g24cfb_061,5ec284fec9e77c00084174da,dev,14498,Spencer Smith -LRB-musician-RRB-,c92ba6081606,"Ryan Urie left the band , leaving Spencer Smith as one of the 2 members .","In 2009 , founding member and guitarist Ryan Urie and bassist Jon Walker , left the band , leaving Smith and vocalist Brendon Urie as the sole remaining members .","In 2009 , founding member and guitarist Ryan Ross and bassist Jon Walker , left the band , leaving Smith and vocalist Brendon Urie as the sole remaining members ."
62,yes,g24cfb_062,5ec5598cc9e77c000842c12a,train,91478,Magic Mike XXL,1214368ead83,Magic Mike XXL received favorable reviews from critics .,The film received generally positive reviews from critics and grossed over $ 117 million.,The film received mixed reviews from critics and grossed over $ 117 million.
63,yes,g24cfb_063,5ee3949bc9e77c0008cd01aa,test,33548,The Maze Runner -LRB-film-RRB-,f245bc797c4b,"On Rotten Tomatoes , the film `` The Maze Runner '' has an average rating of 6 .","Review aggregator Rotten Tomatoes assigns the film a score of 65 % based on 160 reviews , with an average rating of 6/10 .","Review aggregator Rotten Tomatoes assigns the film a score of 65 % based on 160 reviews , with an average rating of 5.9/10 ."
64,yes,g24cfb_064,5ea2d97bc9e77c0009cda18c,train,115546,Bull Durham,4cce4fd4adaf,The budget for Bull Durham is estimated to be $ 9 million .,"The film is a commercial success , grossing over $ 50 million in North America , well above its estimated $ 9 million budget , and a critical success as well .","The film is a commercial success , grossing over $ 50 million in North America , well above its estimated budget , and a critical success as well ."
65,yes,g24cfb_065,5ebbf32bc9e77c0009295304,train,37286,Golmaal-COLON- Fun Unlimited,3f473e2e5f2d,Golmaal : Fun Unlimited was released after 2004 .,"The film released on 14 July 2006 , and received generally positive reviews from the critics , and turned out to be a surprise hit at the box office .","The film released on 14 July 2002 , and received generally positive reviews from the critics , and turned out to be a surprise hit at the box office ."
66,yes,g24cfb_066,5ece9462c9e77c0008466b33,train,181472,Star Trek-COLON- Nemesis,3b135339a3b9,"In Star Trek : Nemesis , a full blood transfusion by Picard can halt Shinzon 's aging .","Shinzon captures Picard after Beverly has informed him that Shinzon is slowly dying of accelerated aging as a result of his being cloned ; the only thing which will halt his aging , is a full transfusion of Picard 's blood .",Shinzon captures Picard after Beverly has informed him that Shinzon is slowly dying of accelerated aging as a result of his being cloned ; the only thing which will restore him is a full transfusion of Picard 's blood .
67,yes,g24cfb_067,5ebe6f2ac9e77c00084074d6,train,40868,Terminal -LRB-2018 film-RRB-,0a5524f58613,Terminal is a drama .,Terminal is an upcoming drama thriller film written and directed by Vaughn Stein .,Terminal is an upcoming heist thriller film written and directed by Vaughn Stein .
68,yes,g24cfb_068,5ebbf32bc9e77c00092955cc,train,38974,Grand Theft Auto-COLON- San Andreas,9a3fb336aa46,The video game Grand Theft Auto : San Andreas is the seventh instalment in the Grand Theft Auto series .,"It is the seventh instalment in the Grand Theft Auto series , and the first main entry since 2002 's Grand Theft Auto : Vice City .","It is the seventh title in the Grand Theft Auto series , and the first main entry since 2002 's Grand Theft Auto : Vice City ."
69,yes,g24cfb_069,5ede072fc9e77c00084d3223,dev,25376,Summit Entertainment,4a0d84a5b453,Lionsgate Films is Summit Entertainment 's parent company .,"It is a subsidiary of Lionsgate Films , owned by Lionsgate Entertainment and is headquartered in Santa Monica , California .","It is a label of Lionsgate Films , owned by Lionsgate Entertainment and is headquartered in Santa Monica , California ."
70,yes,g24cfb_070,5ec55990c9e77c000842d2a8,train,101435,"San Marino, California",4298cc926e7d,One of the most costly and elite communities in Southern California is San Marino .,"With a median home price of $ 2,431,900 , over 10 times the national average , San Marino is one of the most expensive and exclusive communities in Southern California.","With a median home price of $ 2,431,900 , over 10 times the national average , San Marino is one of the most expensive and exclusive communities in nation."
71,yes,g24cfb_071,5ee393b7c9e77c0008ccc9b1,test,26602,2020 coronavirus pandemic in Romania,31ec6819d93d,"9,464 of Romania 's inhabitants were in institutionalized quarantine by March 30 , 2020 .","The 2019–20 coronavirus pandemic was confirmed to have reached Romania on 26 February 2020.As of 30 March , 9,464 people are in institutionalised quarantine , and 124,235 are in isolation at home under medical supervision .","The 2019–20 coronavirus pandemic was confirmed to have reached Romania on 26 February 2020.As of 29 March , 9,464 people are in institutionalised quarantine , and 124,235 are in isolation at home under medical supervision ."
72,yes,g24cfb_072,5ee39419c9e77c0008ccf8f7,dev,38768,Aparshakti Khurana,2f4d1916ec76,Indian actor Aparshakti Khurana 's father is a politician .,His father - P Khurrana is a politician from Chandigarh .,His father - P Khurrana is a renowned Astrologer from Chandigarh .
73,yes,g24cfb_073,5ebe6f29c9e77c00084073c7,train,40269,Percy Jackson -LRB-film series-RRB-,d3990ba41043,Logan Lerman rejected the possibility of a third Percy Jackson film .,"In March 2014 , Logan Lerman stated Percy Jackson 3 will not be happening.","In March 2014 , Logan Lerman stated Percy Jackson 3 could still go ahead."
74,yes,g24cfb_074,5ebe6f31c9e77c0008409036,train,65222,Annihilation -LRB-film-RRB-,59f5bdca3069,"The movie , Annihilation shows various themes , including depression , according to Jonathan Pile .","According to Jonathan Pile of Empire magazine , the film addresses `` depression , grief and the human propensity for self-destruction '' .","According to Jonathan Pile of Empire magazine , the film addresses `` terror , grief and the human propensity for self-destruction '' ."
