seed_rank_within_source,source,group_sha,selected_96,role,inc_item_id,dec_item_id,auto_type,jaccard_mean,entity_overlap_mean
55,fever,85a06caaee,yes,initial,g24a_fever_39793,g24a_fever_111717,explicit_negation,0.5714,1.0
56,fever,742089df5a,yes,initial,g24a_fever_87383,g24a_fever_154859,explicit_negation,0.4615,0.4286
57,fever,d2994cae2a,yes,initial,g24a_fever_5111,g24a_fever_129248,indirect_contradiction,0.5,0.25
58,fever,e739546b88,yes,initial,g24a_fever_426,g24a_fever_126568,indirect_contradiction,0.1429,0.0
59,fever,81facdbc5e,yes,initial,g24a_fever_50529,g24a_fever_153808,explicit_negation,0.5,0.1429
60,fever,70f3bba212,yes,initial,g24a_fever_124663,g24a_fever_102523,explicit_negation,0.3333,1.0
61,fever,2c627de16c,yes,initial,g24a_fever_162742,g24a_fever_162741,indirect_contradiction,0.5714,0.0
62,fever,00138ae21b,yes,initial,g24a_fever_22255,g24a_fever_64226,indirect_contradiction,0.5,1.0
63,fever,7ecdf4d163,yes,initial,g24a_fever_91498,g24a_fever_150946,numeric_value,0.2308,0.2857
64,fever,a1d49f957c,no,reserve,g24a_fever_136062,g24a_fever_160626,numeric_value,0.6667,0.6667
65,fever,13bbced4e0,no,reserve,g24a_fever_139037,g24a_fever_90666,indirect_contradiction,0.6,1.0
66,fever,9edc7a0d5b,no,reserve,g24a_fever_108940,g24a_fever_87008,indirect_contradiction,0.25,0.0
67,fever,7400f170ab,no,reserve,g24a_fever_20703,g24a_fever_134950,exclusive_alternative,0.3,0.3333
68,fever,76bbac307e,no,reserve,g24a_fever_152955,g24a_fever_76118,exclusive_alternative,0.625,1.0
69,fever,6032d38b5a,no,reserve,g24a_fever_146399,g24a_fever_20708,indirect_contradiction,0.5455,1.0
70,fever,62995b53a4,no,reserve,g24a_fever_51288,g24a_fever_97087,exclusive_alternative,0.1111,0.0
71,fever,2fe712c7fe,no,reserve,g24a_fever_122180,g24a_fever_112757,explicit_negation,0.5714,1.0
72,fever,ee69d0e18c,no,reserve,g24a_fever_166845,g24a_fever_166841,indirect_contradiction,0.25,1.0
73,fever,44700fd3ef,no,reserve,g24a_fever_58896,g24a_fever_125225,indirect_contradiction,0.25,0.3333
74,fever,999c07bc63,no,reserve,g24a_fever_97576,g24a_fever_98622,explicit_negation,0.8,1.0
75,fever,470cd72d6e,no,reserve,g24a_fever_45581,g24a_fever_54269,indirect_contradiction,0.3333,0.3333
76,fever,58bbb0ab4e,no,reserve,g24a_fever_200044,g24a_fever_200034,indirect_contradiction,0.5,0.5
77,fever,8d952053ff,no,reserve,g24a_fever_165652,g24a_fever_165666,indirect_contradiction,0.2,0.3333
78,fever,b153c85975,no,reserve,g24a_fever_177970,g24a_fever_177964,indirect_contradiction,0.5,1.0
79,fever,c13c8f06f4,no,reserve,g24a_fever_36953,g24a_fever_102003,indirect_contradiction,0.7143,1.0
80,fever,8b48f0be7b,no,reserve,g24a_fever_182447,g24a_fever_182445,explicit_negation,0.4,1.0
81,fever,1218a84f66,no,reserve,g24a_fever_23925,g24a_fever_118664,indirect_contradiction,0.4,1.0
82,fever,f621c5a242,no,reserve,g24a_fever_118072,g24a_fever_64752,numeric_value,0.5,0.5
83,fever,45f4296d96,no,reserve,g24a_fever_131823,g24a_fever_119422,exclusive_alternative,0.2,0.5
84,fever,f7bcc24cc3,no,reserve,g24a_fever_135499,g24a_fever_64561,exclusive_alternative,0.375,1.0
85,fever,6151f6ab98,no,reserve,g24a_fever_104298,g24a_fever_27461,indirect_contradiction,0.5,1.0
86,fever,d9b691e220,no,reserve,g24a_fever_30645,g24a_fever_26322,indirect_contradiction,0.2222,0.5
87,fever,24c7f10df8,no,reserve,g24a_fever_129752,g24a_fever_59545,indirect_contradiction,0.3333,1.0
88,fever,265252a216,no,reserve,g24a_fever_14366,g24a_fever_14367,numeric_value,0.7143,1.0
89,fever,6ea9e027d9,no,reserve,g24a_fever_187323,g24a_fever_187321,numeric_value,0.3333,0.6667
90,fever,9c3f42ec6e,no,reserve,g24a_fever_128856,g24a_fever_150693,indirect_contradiction,0.3333,1.0
91,fever,6ddadc067f,no,reserve,g24a_fever_88946,g24a_fever_10357,indirect_contradiction,0.3077,1.0
92,fever,b62f6b8de8,no,reserve,g24a_fever_185174,g24a_fever_185192,exclusive_alternative,0.7143,0.6
93,fever,0d0c4e1162,no,reserve,g24a_fever_165658,g24a_fever_165665,explicit_negation,0.1818,1.0
94,fever,899cb17819,no,reserve,g24a_fever_123375,g24a_fever_122657,numeric_value,0.6429,1.0
95,fever,b90a792d46,no,reserve,g24a_fever_25358,g24a_fever_86109,indirect_contradiction,0.7143,0.5
96,fever,0dd7c6deae,no,reserve,g24a_fever_21235,g24a_fever_42344,explicit_negation,0.5,1.0
97,fever,b656b733c5,no,reserve,g24a_fever_162837,g24a_fever_162840,numeric_value,0.1,0.0
98,fever,f2be1da159,no,reserve,g24a_fever_121897,g24a_fever_121716,numeric_value,0.2,0.3333
99,fever,fa0890a9d4,no,reserve,g24a_fever_5688,g24a_fever_5689,indirect_contradiction,0.6,1.0
100,fever,7f715eada2,no,reserve,g24a_fever_184085,g24a_fever_184101,numeric_value,0.5,1.0
101,fever,49c9ce47b8,no,reserve,g24a_fever_82859,g24a_fever_75877,explicit_negation,0.1818,0.2
102,fever,2d94a86e20,no,reserve,g24a_fever_25505,g24a_fever_38501,indirect_contradiction,0.6,1.0
103,fever,2a916de694,no,reserve,g24a_fever_9282,g24a_fever_71516,exclusive_alternative,0.6667,0.5
104,fever,f5da43e40c,no,reserve,g24a_fever_225722,g24a_fever_225744,indirect_contradiction,0.5556,1.0
105,fever,ed3cf5eb18,no,reserve,g24a_fever_190753,g24a_fever_190751,exclusive_alternative,0.5,0.5
106,fever,51c481eb9c,no,reserve,g24a_fever_158641,g24a_fever_158639,indirect_contradiction,0.6667,0.8571
107,fever,07bfe85a58,no,reserve,g24a_fever_11146,g24a_fever_40221,indirect_contradiction,0.2,1.0
108,fever,ad15e1ee17,no,reserve,g24a_fever_25739,g24a_fever_54907,explicit_negation,0.4286,0.6667
109,fever,6c03dd5ef4,no,reserve,g24a_fever_45515,g24a_fever_24021,explicit_negation,0.0714,0.0
110,fever,0669318acb,no,reserve,g24a_fever_217221,g24a_fever_217194,indirect_contradiction,0.4545,1.0
111,fever,be4dbfa949,no,reserve,g24a_fever_77834,g24a_fever_123612,indirect_contradiction,0.6364,0.2
112,fever,421cda9c46,no,reserve,g24a_fever_113712,g24a_fever_48083,indirect_contradiction,0.4,1.0
113,fever,a514d06388,no,reserve,g24a_fever_39616,g24a_fever_135832,numeric_value,0.0909,0.3333
114,fever,09f77dfc71,no,reserve,g24a_fever_8740,g24a_fever_153450,explicit_negation,0.25,0.0
115,fever,1ded8a9c69,no,reserve,g24a_fever_127490,g24a_fever_145470,numeric_value,0.4615,0.6667
116,fever,8d3faa7705,no,reserve,g24a_fever_165118,g24a_fever_165119,exclusive_alternative,0.1538,0.3333
117,fever,b866a34452,no,reserve,g24a_fever_42350,g24a_fever_108352,indirect_contradiction,0.2,0.25
118,fever,848996fca1,no,reserve,g24a_fever_10300,g24a_fever_92939,explicit_negation,0.625,1.0
119,fever,c2830a963c,no,reserve,g24a_fever_155934,g24a_fever_38599,indirect_contradiction,0.5,1.0
120,fever,12ed8aab45,no,reserve,g24a_fever_57622,g24a_fever_153101,explicit_negation,0.3333,1.0
121,fever,f76363cf4e,no,reserve,g24a_fever_21882,g24a_fever_101839,exclusive_alternative,0.625,0.5
122,fever,e54b26f0f7,no,reserve,g24a_fever_156601,g24a_fever_115807,numeric_value,0.8182,0.75
123,fever,127f335269,no,reserve,g24a_fever_87993,g24a_fever_153914,exclusive_alternative,0.1429,0.3333
124,fever,669d4336b9,no,reserve,g24a_fever_89483,g24a_fever_3795,exclusive_alternative,0.4,1.0
125,fever,e8a2116945,no,reserve,g24a_fever_42619,g24a_fever_126561,numeric_value,0.6364,1.0
126,fever,810cef9240,no,reserve,g24a_fever_133840,g24a_fever_120836,explicit_negation,1.0,0.5
127,fever,96a0e45a25,no,reserve,g24a_fever_104798,g24a_fever_150099,indirect_contradiction,0.5,0.5
128,fever,3b74790df7,no,reserve,g24a_fever_187800,g24a_fever_187789,indirect_contradiction,0.5,0.4
129,fever,b1adf5263f,no,reserve,g24a_fever_7358,g24a_fever_97458,numeric_value,0.75,1.0
130,fever,891b1990b0,no,reserve,g24a_fever_134086,g24a_fever_127403,indirect_contradiction,0.4,0.0
131,fever,3e9de90ea6,no,reserve,g24a_fever_194019,g24a_fever_194023,indirect_contradiction,0.6,1.0
132,fever,1b288eee9f,no,reserve,g24a_fever_59629,g24a_fever_63836,indirect_contradiction,0.4286,1.0
133,fever,069484a782,no,reserve,g24a_fever_143123,g24a_fever_90230,numeric_value,0.25,0.25
134,fever,d7d4e3b63b,no,reserve,g24a_fever_3176,g24a_fever_19721,explicit_negation,0.5833,1.0
135,fever,83a66dafdc,no,reserve,g24a_fever_42470,g24a_fever_80458,indirect_contradiction,0.25,0.3333
136,fever,9e270883ac,no,reserve,g24a_fever_12105,g24a_fever_103111,indirect_contradiction,0.4,1.0
137,fever,021f88610a,no,reserve,g24a_fever_56200,g24a_fever_34944,explicit_negation,0.5,1.0
138,fever,80e806fb1e,no,reserve,g24a_fever_3113,g24a_fever_54253,indirect_contradiction,0.2857,1.0
139,fever,5864e857e0,no,reserve,g24a_fever_216192,g24a_fever_216193,indirect_contradiction,0.2222,1.0
140,fever,5e7a6142bb,no,reserve,g24a_fever_37995,g24a_fever_37996,indirect_contradiction,0.875,0.6
141,fever,81afb868b2,no,reserve,g24a_fever_71479,g24a_fever_105077,explicit_negation,0.5714,0.6667
142,fever,7cdf24dc58,no,reserve,g24a_fever_47605,g24a_fever_60442,indirect_contradiction,0.6667,1.0
143,fever,c95db59746,no,reserve,g24a_fever_75778,g24a_fever_55541,numeric_value,0.375,0.125
144,fever,293546e15b,no,reserve,g24a_fever_55032,g24a_fever_126982,explicit_negation,0.8,1.0
145,fever,45702fbb74,no,reserve,g24a_fever_131375,g24a_fever_45018,indirect_contradiction,0.2857,0.5
146,fever,349bb85989,no,reserve,g24a_fever_34774,g24a_fever_54085,numeric_value,0.25,0.3333
147,fever,ab2bc41cd1,no,reserve,g24a_fever_80764,g24a_fever_60701,indirect_contradiction,0.1429,0.0
148,fever,46619e95f7,no,reserve,g24a_fever_50197,g24a_fever_50198,numeric_value,0.5556,0.0
149,fever,d7d2689b55,no,reserve,g24a_fever_99822,g24a_fever_126228,explicit_negation,0.3846,0.8
150,fever,76372a312b,no,reserve,g24a_fever_44277,g24a_fever_100683,indirect_contradiction,0.5,0.5
151,fever,0bc15ddb58,no,reserve,g24a_fever_35523,g24a_fever_114609,explicit_negation,0.75,1.0
152,fever,9611a9241b,no,reserve,g24a_fever_70599,g24a_fever_89229,explicit_negation,1.0,1.0
153,fever,2a0377f3e7,no,reserve,g24a_fever_126206,g24a_fever_130871,indirect_contradiction,0.5,1.0
154,fever,50068a787b,no,reserve,g24a_fever_98711,g24a_fever_17994,explicit_negation,0.4,1.0
155,fever,5c5e4d2920,no,reserve,g24a_fever_122950,g24a_fever_101340,explicit_negation,0.6,1.0
156,fever,b7b55d6aec,no,reserve,g24a_fever_222170,g24a_fever_222171,numeric_value,0.125,0.0
157,fever,87855a05e3,no,reserve,g24a_fever_215113,g24a_fever_215121,exclusive_alternative,0.2,0.3333
158,fever,26bb1db81f,no,reserve,g24a_fever_154303,g24a_fever_60044,explicit_negation,0.4615,1.0
159,fever,09dc2ec887,no,reserve,g24a_fever_40992,g24a_fever_101176,indirect_contradiction,0.5,1.0
160,fever,f6699542ca,no,reserve,g24a_fever_11721,g24a_fever_24442,indirect_contradiction,0.3333,1.0
161,fever,42e37fff19,no,reserve,g24a_fever_34111,g24a_fever_103816,indirect_contradiction,0.4,0.0
162,fever,bd3e359db8,no,reserve,g24a_fever_138114,g24a_fever_3305,explicit_negation,0.2222,0.1667
163,fever,500a1aa81b,no,reserve,g24a_fever_68746,g24a_fever_70812,indirect_contradiction,0.1667,0.0
164,fever,e7e0107ef0,no,reserve,g24a_fever_19417,g24a_fever_35479,indirect_contradiction,0.1818,0.1667
165,fever,03e66e8384,no,reserve,g24a_fever_108525,g24a_fever_12059,indirect_contradiction,0.4,1.0
166,fever,0a800f91c6,no,reserve,g24a_fever_224186,g24a_fever_224192,numeric_value,0.4545,0.4286
167,fever,1243b3bd5c,no,reserve,g24a_fever_75021,g24a_fever_81192,explicit_negation,0.375,1.0
0,scifact,af4a78996c,yes,initial,g24a_scifact_911,g24a_scifact_909,explicit_negation,0.5333,1.0
1,scifact,c3e97b1e49,yes,initial,g24a_scifact_1145,g24a_scifact_1144,explicit_negation,0.7692,1.0
2,scifact,fd26d2a715,yes,initial,g24a_scifact_1266,g24a_scifact_1265,antonym_opposite,0.6429,1.0
3,scifact,76badcd0c8,yes,initial,g24a_scifact_641,g24a_scifact_267,indirect_contradiction,0.4444,1.0
4,scifact,32723d938a,yes,initial,g24a_scifact_448,g24a_scifact_447,antonym_opposite,0.7778,1.0
5,scifact,5465d3e996,yes,initial,g24a_scifact_431,g24a_scifact_430,indirect_contradiction,0.8,1.0
6,scifact,62a595ceec,yes,initial,g24a_scifact_381,g24a_scifact_185,exclusive_alternative,0.4,1.0
7,scifact,876b208bcc,yes,initial,g24a_scifact_860,g24a_scifact_861,indirect_contradiction,0.7143,1.0
8,scifact,87f335a320,yes,initial,g24a_scifact_367,g24a_scifact_368,antonym_opposite,0.8,1.0
9,scifact,c5cc829617,yes,initial,g24a_scifact_333,g24a_scifact_332,antonym_opposite,0.8889,1.0
10,scifact,cae3e50ea1,yes,initial,g24a_scifact_480,g24a_scifact_479,indirect_contradiction,0.7778,1.0
11,scifact,76f5fdd9ef,yes,initial,g24a_scifact_397,g24a_scifact_396,antonym_opposite,0.7778,1.0
12,scifact,f3361096a8,yes,initial,g24a_scifact_726,g24a_scifact_728,antonym_opposite,0.8,1.0
13,scifact,9615cd2c7e,yes,initial,g24a_scifact_248,g24a_scifact_249,antonym_opposite,0.7778,1.0
14,scifact,20bf6fbf70,yes,initial,g24a_scifact_130,g24a_scifact_129,indirect_contradiction,0.8333,1.0
15,scifact,bccffa8b40,yes,initial,g24a_scifact_340,g24a_scifact_341,indirect_contradiction,0.8667,1.0
16,scifact,c63f9eaa78,yes,initial,g24a_scifact_124,g24a_scifact_123,antonym_opposite,0.8182,1.0
17,scifact,ab20774181,yes,initial,g24a_scifact_181,g24a_scifact_180,indirect_contradiction,0.8235,1.0
18,scifact,d75b4f2510,yes,initial,g24a_scifact_298,g24a_scifact_299,indirect_contradiction,0.8,1.0
19,scifact,1b69f798c8,yes,initial,g24a_scifact_822,g24a_scifact_825,indirect_contradiction,0.6667,1.0
20,scifact,e66817f338,yes,initial,g24a_scifact_61,g24a_scifact_60,explicit_negation,0.5556,1.0
21,scifact,e77efdb9ab,yes,initial,g24a_scifact_286,g24a_scifact_287,indirect_contradiction,0.8333,1.0
22,scifact,a1314c14e5,yes,initial,g24a_scifact_673,g24a_scifact_674,explicit_negation,0.6667,1.0
23,scifact,5752dcb782,yes,initial,g24a_scifact_121,g24a_scifact_122,indirect_contradiction,0.75,1.0
24,scifact,a27cec9ad0,yes,initial,g24a_scifact_565,g24a_scifact_566,indirect_contradiction,0.8333,1.0
25,scifact,428b3ea1c3,yes,initial,g24a_scifact_614,g24a_scifact_615,indirect_contradiction,0.8571,1.0
26,scifact,00b32b76ab,yes,initial,g24a_scifact_766,g24a_scifact_765,explicit_negation,0.75,1.0
27,scifact,efe9530c55,yes,initial,g24a_scifact_246,g24a_scifact_245,explicit_negation,0.5,1.0
28,scifact,ea9c605f0e,yes,initial,g24a_scifact_646,g24a_scifact_645,antonym_opposite,0.8182,1.0
29,scifact,c5788fbeb2,yes,initial,g24a_scifact_803,g24a_scifact_801,antonym_opposite,0.7778,1.0
30,scifact,e8e11aaf0e,yes,initial,g24a_scifact_648,g24a_scifact_647,indirect_contradiction,0.7143,1.0
31,scifact,767933a013,yes,initial,g24a_scifact_272,g24a_scifact_1359,indirect_contradiction,0.8667,1.0
32,scifact,e0d5b1943f,no,reserve,g24a_scifact_788,g24a_scifact_787,antonym_opposite,0.75,1.0
33,scifact,b99675450c,no,reserve,g24a_scifact_347,g24a_scifact_346,indirect_contradiction,0.6364,1.0
34,scifact,3428b9a6c6,no,reserve,g24a_scifact_1012,g24a_scifact_1011,antonym_opposite,0.8,1.0
35,scifact,9ba3687ae6,no,reserve,g24a_scifact_1248,g24a_scifact_1249,indirect_contradiction,0.3636,1.0
36,scifact,3ae70069d7,no,reserve,g24a_scifact_524,g24a_scifact_523,indirect_contradiction,0.875,1.0
37,scifact,ac92f0ed6b,no,reserve,g24a_scifact_1341,g24a_scifact_1339,indirect_contradiction,0.8333,1.0
38,scifact,727e412419,no,reserve,g24a_scifact_1385,g24a_scifact_1386,indirect_contradiction,0.7143,1.0
39,scifact,0e729e9b50,no,reserve,g24a_scifact_143,g24a_scifact_142,indirect_contradiction,0.8421,1.0
40,scifact,903b219e48,no,reserve,g24a_scifact_1220,g24a_scifact_1261,indirect_contradiction,0.8462,1.0
41,scifact,30976c0d0b,no,reserve,g24a_scifact_515,g24a_scifact_516,indirect_contradiction,0.7692,1.0
42,scifact,efbacfe139,no,reserve,g24a_scifact_1259,g24a_scifact_1260,antonym_opposite,0.875,1.0
43,scifact,52cc1596f7,no,reserve,g24a_scifact_789,g24a_scifact_790,indirect_contradiction,0.7778,1.0
44,scifact,a658b8dc16,no,reserve,g24a_scifact_880,g24a_scifact_879,explicit_negation,0.2727,0.5
45,scifact,77d67d2fe9,no,reserve,g24a_scifact_960,g24a_scifact_959,antonym_opposite,0.6667,1.0
46,scifact,252ec64d13,no,reserve,g24a_scifact_570,g24a_scifact_571,indirect_contradiction,0.8333,1.0
47,scifact,f969431bc7,no,reserve,g24a_scifact_1105,g24a_scifact_1106,indirect_contradiction,0.7222,1.0
48,scifact,c465fcb4fb,no,reserve,g24a_scifact_1069,g24a_scifact_454,indirect_contradiction,1.0,1.0
49,scifact,37c6427257,no,reserve,g24a_scifact_1102,g24a_scifact_1101,indirect_contradiction,0.8333,1.0
50,scifact,a8c933de3c,no,reserve,g24a_scifact_926,g24a_scifact_927,indirect_contradiction,0.9,1.0
51,scifact,4df320ab2e,no,reserve,g24a_scifact_621,g24a_scifact_944,explicit_negation,0.5,1.0
52,scifact,bc239f53fe,no,reserve,g24a_scifact_1305,g24a_scifact_1303,explicit_negation,0.5714,1.0
53,scifact,041a6647e3,no,reserve,g24a_scifact_1048,g24a_scifact_1049,antonym_opposite,0.7778,1.0
54,scifact,057354ffde,no,reserve,g24a_scifact_1383,g24a_scifact_1382,indirect_contradiction,0.75,1.0
55,scifact,153c170188,no,reserve,g24a_scifact_1238,g24a_scifact_1237,indirect_contradiction,0.7143,1.0
