model,p2_id,cell,value
mistral-small-24b,g24p2_010,EXC+,37.711912976534364
mistral-small-24b,g24p2_010,EXC-,34.74019085301727
mistral-small-24b,g24p2_010,MNR+,35.91134889215553
mistral-small-24b,g24p2_010,MNR-,20.024507163887062
mistral-small-24b,g24p2_010,RND+,39.92921957447518
mistral-small-24b,g24p2_010,RND-,41.23402349320254
mistral-small-24b,g24p2_010,STR+,47.13096748502351
mistral-small-24b,g24p2_010,STR-,36.444808706610246
mistral-small-24b,g24p2_010,Y0,13.44626652024067
mistral-small-24b,g24p2_011,ADM+,98.47706834723539
mistral-small-24b,g24p2_011,ADM-,5.748536144350102
mistral-small-24b,g24p2_011,CF+,69.22776646750287
mistral-small-24b,g24p2_011,CF-,54.70398608351777
mistral-small-24b,g24p2_011,EXC+,40.63766553611949
mistral-small-24b,g24p2_011,EXC-,29.519895977521497
mistral-small-24b,g24p2_011,MNR+,97.2617918453964
mistral-small-24b,g24p2_011,MNR-,50.44947753604627
mistral-small-24b,g24p2_011,RND+,76.47697374898354
mistral-small-24b,g24p2_011,RND-,57.00556629796798
mistral-small-24b,g24p2_011,STR+,59.14561272800217
mistral-small-24b,g24p2_011,STR-,50.40976457180232
mistral-small-24b,g24p2_011,Y0,99.68971854070857
mistral-small-24b,g24p2_012,ADM+,99.81038885748465
mistral-small-24b,g24p2_012,ADM-,6.488862463675442
mistral-small-24b,g24p2_012,CF+,35.494692525535136
mistral-small-24b,g24p2_012,CF-,16.47554656298278
mistral-small-24b,g24p2_012,EXC+,23.95016097473594
mistral-small-24b,g24p2_012,EXC-,3.5071867262770033
mistral-small-24b,g24p2_012,MNR+,32.77769648909954
mistral-small-24b,g24p2_012,MNR-,18.206859133405796
mistral-small-24b,g24p2_012,RND+,37.540294679042695
mistral-small-24b,g24p2_012,RND-,22.874259273598298
mistral-small-24b,g24p2_012,STR+,9.991413860202371
mistral-small-24b,g24p2_012,STR-,10.865235933563106
mistral-small-24b,g24p2_012,Y0,56.214351831486965
mistral-small-24b,g24p2_014,ADM+,99.8449508920421
mistral-small-24b,g24p2_014,ADM-,0.03493545492160256
mistral-small-24b,g24p2_014,CF+,24.839091533396044
mistral-small-24b,g24p2_014,CF-,32.1498493023389
mistral-small-24b,g24p2_014,EXC+,29.255419538655538
mistral-small-24b,g24p2_014,EXC-,28.88520961723012
mistral-small-24b,g24p2_014,MNR+,23.708997154156716
mistral-small-24b,g24p2_014,MNR-,34.77819794692732
mistral-small-24b,g24p2_014,RND+,25.173273621603684
mistral-small-24b,g24p2_014,RND-,30.947917579158393
mistral-small-24b,g24p2_014,STR+,14.0419863376773
mistral-small-24b,g24p2_014,STR-,38.837400394050256
mistral-small-24b,g24p2_014,Y0,58.47373088595816
mistral-small-24b,g24p2_015,ADM+,99.71024245736417
mistral-small-24b,g24p2_015,ADM-,17.965294213049088
mistral-small-24b,g24p2_015,CF+,76.71311038243329
mistral-small-24b,g24p2_015,CF-,31.924992492118136
mistral-small-24b,g24p2_015,EXC+,37.21853316401268
mistral-small-24b,g24p2_015,EXC-,16.02929736631701
mistral-small-24b,g24p2_015,MNR+,69.07397410255997
mistral-small-24b,g24p2_015,MNR-,24.456154113255156
mistral-small-24b,g24p2_015,RND+,76.63591190989496
mistral-small-24b,g24p2_015,RND-,21.768751612561218
mistral-small-24b,g24p2_015,STR+,59.590264269539574
mistral-small-24b,g24p2_015,STR-,11.968972073866944
mistral-small-24b,g24p2_015,Y0,45.170771487083876
mistral-small-24b,g24p2_016,ADM+,91.25670975113758
mistral-small-24b,g24p2_016,ADM-,6.638093834103572
mistral-small-24b,g24p2_016,CF+,33.191998325324995
mistral-small-24b,g24p2_016,CF-,46.39965436452153
mistral-small-24b,g24p2_016,EXC+,33.53927144357254
mistral-small-24b,g24p2_016,EXC-,2.3020734885808567
mistral-small-24b,g24p2_016,MNR+,40.88042664992866
mistral-small-24b,g24p2_016,MNR-,35.01938958993758
mistral-small-24b,g24p2_016,RND+,45.11860434761468
mistral-small-24b,g24p2_016,RND-,31.03833987829178
mistral-small-24b,g24p2_016,STR+,29.20407463753928
mistral-small-24b,g24p2_016,STR-,35.28500423810394
mistral-small-24b,g24p2_016,Y0,62.220404932426895
mistral-small-24b,g24p2_017,ADM+,99.86768608502211
mistral-small-24b,g24p2_017,ADM-,8.476872128551424
mistral-small-24b,g24p2_017,CF+,39.38545787897492
mistral-small-24b,g24p2_017,CF-,40.51397540765819
mistral-small-24b,g24p2_017,EXC+,10.435368328039612
mistral-small-24b,g24p2_017,EXC-,8.33038898209987
mistral-small-24b,g24p2_017,MNR+,27.250912054802793
mistral-small-24b,g24p2_017,MNR-,27.2527843189133
mistral-small-24b,g24p2_017,RND+,40.39379990369005
mistral-small-24b,g24p2_017,RND-,39.71858556740531
mistral-small-24b,g24p2_017,STR+,99.34249716105846
mistral-small-24b,g24p2_017,STR-,85.90209875902165
mistral-small-24b,g24p2_017,Y0,99.89825830122294
mistral-small-24b,g24p2_018,ADM+,99.93399695546411
mistral-small-24b,g24p2_018,ADM-,10.951227122736391
mistral-small-24b,g24p2_018,CF+,22.028402140842015
mistral-small-24b,g24p2_018,CF-,32.38359333146204
mistral-small-24b,g24p2_018,EXC+,33.29904207725919
mistral-small-24b,g24p2_018,EXC-,5.120018492663795
mistral-small-24b,g24p2_018,MNR+,87.86055087640284
mistral-small-24b,g24p2_018,MNR-,98.88972063847292
mistral-small-24b,g24p2_018,RND+,36.50483261906395
mistral-small-24b,g24p2_018,RND-,33.78954763801654
mistral-small-24b,g24p2_018,STR+,81.65815731418989
mistral-small-24b,g24p2_018,STR-,97.62751528373154
mistral-small-24b,g24p2_018,Y0,99.04329738419801
mistral-small-24b,g24p2_019,ADM+,93.11471995408766
mistral-small-24b,g24p2_019,ADM-,89.50236964115243
mistral-small-24b,g24p2_019,CF+,20.683579708809546
mistral-small-24b,g24p2_019,CF-,35.991235651034366
mistral-small-24b,g24p2_019,EXC+,26.95154590564025
mistral-small-24b,g24p2_019,EXC-,29.780362826239664
mistral-small-24b,g24p2_019,MNR+,11.314554077250754
mistral-small-24b,g24p2_019,MNR-,34.80020948428734
mistral-small-24b,g24p2_019,RND+,37.43519460572609
mistral-small-24b,g24p2_019,RND-,4.761215457705565
mistral-small-24b,g24p2_019,STR+,9.92602746100129
mistral-small-24b,g24p2_019,STR-,16.94604347918137
mistral-small-24b,g24p2_019,Y0,35.812467556686016
mistral-small-24b,g24p2_020,ADM+,99.64496920251264
mistral-small-24b,g24p2_020,ADM-,0.0612751805167103
mistral-small-24b,g24p2_020,CF+,36.56105405368618
mistral-small-24b,g24p2_020,CF-,45.199424614135935
mistral-small-24b,g24p2_020,EXC+,4.308053494831686
mistral-small-24b,g24p2_020,EXC-,0.8822768877830915
mistral-small-24b,g24p2_020,MNR+,28.106898942781047
mistral-small-24b,g24p2_020,MNR-,27.541601116826175
mistral-small-24b,g24p2_020,RND+,37.920466973077346
mistral-small-24b,g24p2_020,RND-,45.11694331515226
mistral-small-24b,g24p2_020,STR+,20.636200453814254
mistral-small-24b,g24p2_020,STR-,17.42263780634723
mistral-small-24b,g24p2_020,Y0,0.3242345219113946
mistral-small-24b,g24p2_021,ADM+,99.94724387927289
mistral-small-24b,g24p2_021,ADM-,0.06490649126101929
mistral-small-24b,g24p2_021,CF+,34.06596018005535
mistral-small-24b,g24p2_021,CF-,34.726615953054306
mistral-small-24b,g24p2_021,EXC+,24.118972042067668
mistral-small-24b,g24p2_021,EXC-,40.61972087147704
mistral-small-24b,g24p2_021,MNR+,34.29576611017487
mistral-small-24b,g24p2_021,MNR-,37.38461470653126
mistral-small-24b,g24p2_021,RND+,32.6958400802858
mistral-small-24b,g24p2_021,RND-,28.32952456047426
mistral-small-24b,g24p2_021,STR+,68.7686878253608
mistral-small-24b,g24p2_021,STR-,35.01475957196348
mistral-small-24b,g24p2_021,Y0,99.75229324067523
mistral-small-24b,g24p2_023,ADM+,99.45797025413111
mistral-small-24b,g24p2_023,ADM-,9.178926903930654
mistral-small-24b,g24p2_023,CF+,45.9437156322102
mistral-small-24b,g24p2_023,CF-,75.58224383540545
mistral-small-24b,g24p2_023,EXC+,20.096541985352424
mistral-small-24b,g24p2_023,EXC-,6.512839352234195
mistral-small-24b,g24p2_023,MNR+,88.88165062187146
mistral-small-24b,g24p2_023,MNR-,8.763281143622576
mistral-small-24b,g24p2_023,RND+,46.04170219281235
mistral-small-24b,g24p2_023,RND-,46.08565739170911
mistral-small-24b,g24p2_023,STR+,86.47974613020043
mistral-small-24b,g24p2_023,STR-,86.05876689625072
mistral-small-24b,g24p2_023,Y0,99.48849464294634
mistral-small-24b,g24p2_024,ADM+,99.78653929737585
mistral-small-24b,g24p2_024,ADM-,95.4715443539657
mistral-small-24b,g24p2_024,CF+,41.235202156136324
mistral-small-24b,g24p2_024,CF-,38.3898596175093
mistral-small-24b,g24p2_024,EXC+,40.9667715380094
mistral-small-24b,g24p2_024,EXC-,32.985041985363665
mistral-small-24b,g24p2_024,MNR+,95.08303200374674
mistral-small-24b,g24p2_024,MNR-,85.9939918787079
mistral-small-24b,g24p2_024,RND+,36.869263103970596
mistral-small-24b,g24p2_024,RND-,37.65534654137234
mistral-small-24b,g24p2_024,STR+,22.071153731046678
mistral-small-24b,g24p2_024,STR-,17.39213978119341
mistral-small-24b,g24p2_024,Y0,39.36501556873622
mistral-small-24b,g24p2_026,ADM+,99.89515882847815
mistral-small-24b,g24p2_026,ADM-,0.043228976432846476
mistral-small-24b,g24p2_026,CF+,39.32055109206418
mistral-small-24b,g24p2_026,CF-,40.994799416542406
mistral-small-24b,g24p2_026,EXC+,31.323193860326725
mistral-small-24b,g24p2_026,EXC-,28.301825274813844
mistral-small-24b,g24p2_026,MNR+,36.4189325770324
mistral-small-24b,g24p2_026,MNR-,37.438435143871715
mistral-small-24b,g24p2_026,RND+,38.534618773182416
mistral-small-24b,g24p2_026,RND-,39.8963932855465
mistral-small-24b,g24p2_026,STR+,17.938179813704853
mistral-small-24b,g24p2_026,STR-,31.76026074279151
mistral-small-24b,g24p2_026,Y0,13.79658827498131
mistral-small-24b,g24p2_027,ADM+,99.87432817931683
mistral-small-24b,g24p2_027,ADM-,2.8955389753807452
mistral-small-24b,g24p2_027,CF+,84.26415719039912
mistral-small-24b,g24p2_027,CF-,71.73439046019739
mistral-small-24b,g24p2_027,EXC+,34.55090820426206
mistral-small-24b,g24p2_027,EXC-,99.33855967286215
mistral-small-24b,g24p2_027,MNR+,89.97414834792943
mistral-small-24b,g24p2_027,MNR-,98.99368336204728
mistral-small-24b,g24p2_027,RND+,84.63013048605343
mistral-small-24b,g24p2_027,RND-,97.87158325340452
mistral-small-24b,g24p2_027,STR+,85.026239417455
mistral-small-24b,g24p2_027,STR-,99.21674498291371
mistral-small-24b,g24p2_027,Y0,99.72693951653837
mistral-small-24b,g24p2_028,ADM+,99.90414105554186
mistral-small-24b,g24p2_028,ADM-,8.42050276463638
mistral-small-24b,g24p2_028,CF+,33.23128386168716
mistral-small-24b,g24p2_028,CF-,42.65915315164319
mistral-small-24b,g24p2_028,EXC+,9.285134271244647
mistral-small-24b,g24p2_028,EXC-,2.859618766739872
mistral-small-24b,g24p2_028,MNR+,10.625542245006066
mistral-small-24b,g24p2_028,MNR-,12.020403239937911
mistral-small-24b,g24p2_028,RND+,33.19067340766715
mistral-small-24b,g24p2_028,RND-,41.79501294172139
mistral-small-24b,g24p2_028,STR+,16.02227635297275
mistral-small-24b,g24p2_028,STR-,13.24948072829888
mistral-small-24b,g24p2_028,Y0,1.2144611419815734
mistral-small-24b,g24p2_029,ADM+,99.81074270648122
mistral-small-24b,g24p2_029,ADM-,7.1029980219952655
mistral-small-24b,g24p2_029,CF+,37.069960345664875
mistral-small-24b,g24p2_029,CF-,27.20415034187537
mistral-small-24b,g24p2_029,EXC+,9.997323084470302
mistral-small-24b,g24p2_029,EXC-,6.06959172056841
mistral-small-24b,g24p2_029,MNR+,30.222034106679164
mistral-small-24b,g24p2_029,MNR-,5.051832901758342
mistral-small-24b,g24p2_029,RND+,37.009808666009775
mistral-small-24b,g24p2_029,RND-,30.118386055308672
mistral-small-24b,g24p2_029,STR+,36.190902728152
mistral-small-24b,g24p2_029,STR-,5.291779834943822
mistral-small-24b,g24p2_029,Y0,47.67914999808798
mistral-small-24b,g24p2_033,ADM+,92.9890238068138
mistral-small-24b,g24p2_033,ADM-,13.460127853562865
mistral-small-24b,g24p2_033,CF+,44.246783768036856
mistral-small-24b,g24p2_033,CF-,49.58177801950147
mistral-small-24b,g24p2_033,EXC+,2.2383884109572643
mistral-small-24b,g24p2_033,EXC-,43.53474854027131
mistral-small-24b,g24p2_033,MNR+,43.35245510704344
mistral-small-24b,g24p2_033,MNR-,46.37207906953836
mistral-small-24b,g24p2_033,RND+,43.48260207946489
mistral-small-24b,g24p2_033,RND-,48.253701113916584
mistral-small-24b,g24p2_033,STR+,29.345078110557708
mistral-small-24b,g24p2_033,STR-,32.76970450466562
mistral-small-24b,g24p2_033,Y0,9.677525206800503
mistral-small-24b,g24p2_034,ADM+,99.74281495515619
mistral-small-24b,g24p2_034,ADM-,27.928812119021554
mistral-small-24b,g24p2_034,CF+,40.54758740067402
mistral-small-24b,g24p2_034,CF-,44.41288976167638
mistral-small-24b,g24p2_034,EXC+,28.356807538939083
mistral-small-24b,g24p2_034,EXC-,25.181040561290885
mistral-small-24b,g24p2_034,MNR+,35.85281220861532
mistral-small-24b,g24p2_034,MNR-,4.919581267469689
mistral-small-24b,g24p2_034,RND+,41.12658851559875
mistral-small-24b,g24p2_034,RND-,44.28824779758894
mistral-small-24b,g24p2_034,STR+,78.34498618723853
mistral-small-24b,g24p2_034,STR-,80.17122103405839
mistral-small-24b,g24p2_034,Y0,76.95075243170554
mistral-small-24b,g24p2_035,ADM+,99.28997999401494
mistral-small-24b,g24p2_035,ADM-,99.0918589641977
mistral-small-24b,g24p2_035,CF+,22.864406239106806
mistral-small-24b,g24p2_035,CF-,33.313096599347375
mistral-small-24b,g24p2_035,EXC+,2.0565440525873746
mistral-small-24b,g24p2_035,EXC-,7.034115456466297
mistral-small-24b,g24p2_035,MNR+,0.08326690886574967
mistral-small-24b,g24p2_035,MNR-,10.605118843592468
mistral-small-24b,g24p2_035,RND+,32.9716883371962
mistral-small-24b,g24p2_035,RND-,37.88237846391061
mistral-small-24b,g24p2_035,STR+,2.480428772882873
mistral-small-24b,g24p2_035,STR-,2.7165693592350446
mistral-small-24b,g24p2_035,Y0,8.304114479634915
mistral-small-24b,g24p2_036,ADM+,99.70548713961638
mistral-small-24b,g24p2_036,ADM-,9.498387684409195
mistral-small-24b,g24p2_036,CF+,90.37994283651943
mistral-small-24b,g24p2_036,CF-,87.96325064504146
mistral-small-24b,g24p2_036,EXC+,17.702037849046796
mistral-small-24b,g24p2_036,EXC-,92.07745335230861
mistral-small-24b,g24p2_036,MNR+,98.16518962046001
mistral-small-24b,g24p2_036,MNR-,90.89533008927827
mistral-small-24b,g24p2_036,RND+,88.45013661279425
mistral-small-24b,g24p2_036,RND-,90.2542536332765
mistral-small-24b,g24p2_036,STR+,87.11480486526813
mistral-small-24b,g24p2_036,STR-,92.27814493932036
mistral-small-24b,g24p2_036,Y0,94.19980266323601
mistral-small-24b,g24p2_037,ADM+,98.52143002134015
mistral-small-24b,g24p2_037,ADM-,99.86939384707782
mistral-small-24b,g24p2_037,CF+,32.201462775670606
mistral-small-24b,g24p2_037,CF-,32.59381600564937
mistral-small-24b,g24p2_037,EXC+,18.18401866188839
mistral-small-24b,g24p2_037,EXC-,0.04803761511160097
mistral-small-24b,g24p2_037,MNR+,16.833228984441952
mistral-small-24b,g24p2_037,MNR-,17.37212665304224
mistral-small-24b,g24p2_037,RND+,19.808103635741713
mistral-small-24b,g24p2_037,RND-,16.43301863451005
mistral-small-24b,g24p2_037,STR+,14.90605824253283
mistral-small-24b,g24p2_037,STR-,9.895665939833258
mistral-small-24b,g24p2_037,Y0,18.83420572046412
mistral-small-24b,g24p2_038,ADM+,99.69804368264838
mistral-small-24b,g24p2_038,ADM-,99.05319712572316
mistral-small-24b,g24p2_038,CF+,40.569500729650414
mistral-small-24b,g24p2_038,CF-,26.77273778572126
mistral-small-24b,g24p2_038,EXC+,15.52331254100585
mistral-small-24b,g24p2_038,EXC-,19.822373488375636
mistral-small-24b,g24p2_038,MNR+,36.60424622306488
mistral-small-24b,g24p2_038,MNR-,12.564827457047238
mistral-small-24b,g24p2_038,RND+,35.64849865287524
mistral-small-24b,g24p2_038,RND-,31.520833204747046
mistral-small-24b,g24p2_038,STR+,8.85059095375559
mistral-small-24b,g24p2_038,STR-,6.523201650380704
mistral-small-24b,g24p2_038,Y0,73.65710957151596
mistral-small-24b,g24p2_039,ADM+,99.56302453933357
mistral-small-24b,g24p2_039,ADM-,0.05182281862443763
mistral-small-24b,g24p2_039,CF+,26.27602524213806
mistral-small-24b,g24p2_039,CF-,22.71137151493055
mistral-small-24b,g24p2_039,EXC+,6.545299579876883
mistral-small-24b,g24p2_039,EXC-,8.980249405980263
mistral-small-24b,g24p2_039,MNR+,26.40265421717388
mistral-small-24b,g24p2_039,MNR-,25.364062816458052
mistral-small-24b,g24p2_039,RND+,24.799423295915307
mistral-small-24b,g24p2_039,RND-,27.241740210939586
mistral-small-24b,g24p2_039,STR+,12.13384084373626
mistral-small-24b,g24p2_039,STR-,24.181308805391605
mistral-small-24b,g24p2_039,Y0,0.20867060488787856
mistral-small-24b,g24p2_040,ADM+,89.1079077371441
mistral-small-24b,g24p2_040,ADM-,28.067563492413928
mistral-small-24b,g24p2_040,CF+,99.74240905360726
mistral-small-24b,g24p2_040,CF-,95.3323678140859
mistral-small-24b,g24p2_040,EXC+,95.79949085071172
mistral-small-24b,g24p2_040,EXC-,99.78358225401105
mistral-small-24b,g24p2_040,MNR+,99.75178994431745
mistral-small-24b,g24p2_040,MNR-,40.14824254455382
mistral-small-24b,g24p2_040,RND+,99.74967753233132
mistral-small-24b,g24p2_040,RND-,99.83754755524006
mistral-small-24b,g24p2_040,STR+,97.89968702810806
mistral-small-24b,g24p2_040,STR-,35.8681951385806
mistral-small-24b,g24p2_040,Y0,99.84696575108211
mistral-small-24b,g24p2_041,ADM+,0.14752750867887476
mistral-small-24b,g24p2_041,ADM-,0.06360777726541546
mistral-small-24b,g24p2_041,CF+,46.24543292490169
mistral-small-24b,g24p2_041,CF-,73.4909982048035
mistral-small-24b,g24p2_041,EXC+,16.2409537722436
mistral-small-24b,g24p2_041,EXC-,19.47239347983573
mistral-small-24b,g24p2_041,MNR+,35.019709618932396
mistral-small-24b,g24p2_041,MNR-,23.66988715079161
mistral-small-24b,g24p2_041,RND+,49.10808696933785
mistral-small-24b,g24p2_041,RND-,48.44465019569785
mistral-small-24b,g24p2_041,STR+,77.569428490255
mistral-small-24b,g24p2_041,STR-,46.94976669986711
mistral-small-24b,g24p2_041,Y0,0.5305852045694208
mistral-small-24b,g24p2_043,ADM+,99.97314752669273
mistral-small-24b,g24p2_043,ADM-,0.048458010469437235
mistral-small-24b,g24p2_043,CF+,35.49349995536281
mistral-small-24b,g24p2_043,CF-,38.91941780226146
mistral-small-24b,g24p2_043,EXC+,43.85328728159846
mistral-small-24b,g24p2_043,EXC-,24.832769554380903
mistral-small-24b,g24p2_043,MNR+,41.635295530372815
mistral-small-24b,g24p2_043,MNR-,38.847113683713445
mistral-small-24b,g24p2_043,RND+,35.83662934935353
mistral-small-24b,g24p2_043,RND-,46.9619994208886
mistral-small-24b,g24p2_043,STR+,65.2630878488398
mistral-small-24b,g24p2_043,STR-,35.85225602151124
mistral-small-24b,g24p2_043,Y0,99.75660841017333
mistral-small-24b,g24p2_044,ADM+,99.87114364270963
mistral-small-24b,g24p2_044,ADM-,11.056675978289483
mistral-small-24b,g24p2_044,CF+,58.47992719293112
mistral-small-24b,g24p2_044,CF-,45.27698788481044
mistral-small-24b,g24p2_044,EXC+,12.517675974224693
mistral-small-24b,g24p2_044,EXC-,11.848557746805977
mistral-small-24b,g24p2_044,MNR+,75.06906259330714
mistral-small-24b,g24p2_044,MNR-,71.35760978165654
mistral-small-24b,g24p2_044,RND+,67.47243363635772
mistral-small-24b,g24p2_044,RND-,42.12672926370619
mistral-small-24b,g24p2_044,STR+,64.6781818948541
mistral-small-24b,g24p2_044,STR-,45.99756108865242
mistral-small-24b,g24p2_044,Y0,1.1262867203266522
mistral-small-24b,g24p2_046,ADM+,91.52112861345937
mistral-small-24b,g24p2_046,ADM-,1.3336036497535848
mistral-small-24b,g24p2_046,CF+,4.704320281018159
mistral-small-24b,g24p2_046,CF-,3.0811434234663455
mistral-small-24b,g24p2_046,EXC+,11.888636003868227
mistral-small-24b,g24p2_046,EXC-,9.194610451895095
mistral-small-24b,g24p2_046,MNR+,2.3940500369474194
mistral-small-24b,g24p2_046,MNR-,13.542401904094651
mistral-small-24b,g24p2_046,RND+,3.2269565301479752
mistral-small-24b,g24p2_046,RND-,3.6930654802730083
mistral-small-24b,g24p2_046,STR+,11.104964839100397
mistral-small-24b,g24p2_046,STR-,1.2458504587901982
mistral-small-24b,g24p2_046,Y0,10.407182890224826
mistral-small-24b,g24p2_047,ADM+,99.9243217215813
mistral-small-24b,g24p2_047,ADM-,0.07254063684330449
mistral-small-24b,g24p2_047,CF+,78.45470865494123
mistral-small-24b,g24p2_047,CF-,63.42745185953957
mistral-small-24b,g24p2_047,EXC+,58.66270681062221
mistral-small-24b,g24p2_047,EXC-,86.51824857155601
mistral-small-24b,g24p2_047,MNR+,67.29271246424759
mistral-small-24b,g24p2_047,MNR-,91.17602531154932
mistral-small-24b,g24p2_047,RND+,68.77759409753395
mistral-small-24b,g24p2_047,RND-,70.0322463104215
mistral-small-24b,g24p2_047,STR+,14.816018102954429
mistral-small-24b,g24p2_047,STR-,10.835265045184485
mistral-small-24b,g24p2_047,Y0,8.303350860537032
mistral-small-24b,g24p2_048,ADM+,99.9386009694635
mistral-small-24b,g24p2_048,ADM-,0.08373218150235749
mistral-small-24b,g24p2_048,CF+,48.77875267889062
mistral-small-24b,g24p2_048,CF-,47.179343932988544
mistral-small-24b,g24p2_048,EXC+,40.66459354029444
mistral-small-24b,g24p2_048,EXC-,41.588763320265876
mistral-small-24b,g24p2_048,MNR+,94.46973401549222
mistral-small-24b,g24p2_048,MNR-,39.801004628063566
