model,p2_id,item_id,arm,kind,value
mistral-small-24b,g24p2_003,g24p2_003_plus,plus,counterfactual_delete_post,42.58714091776403
mistral-small-24b,g24p2_003,g24p2_003_minus,minus,admit_post,87.02162507123569
mistral-small-24b,g24p2_003,g24p2_003_minus,minus,exclude_post,46.48675185045257
mistral-small-24b,g24p2_003,g24p2_003_minus,minus,strong_exclude_post,31.291667971221337
mistral-small-24b,g24p2_003,g24p2_003_minus,minus,counterfactual_delete_post,43.46950251920563
mistral-small-24b,g24p2_004,g24p2_004_plus,plus,base,51.47622147324179
mistral-small-24b,g24p2_004,g24p2_004_plus,plus,admit_post,99.93115143654407
mistral-small-24b,g24p2_004,g24p2_004_plus,plus,exclude_post,8.688857561518748
mistral-small-24b,g24p2_004,g24p2_004_plus,plus,strong_exclude_post,2.325114842688029
mistral-small-24b,g24p2_004,g24p2_004_plus,plus,counterfactual_delete_post,28.175940040361596
mistral-small-24b,g24p2_004,g24p2_004_minus,minus,admit_post,89.82498559040035
mistral-small-24b,g24p2_004,g24p2_004_minus,minus,exclude_post,9.92974495107064
mistral-small-24b,g24p2_004,g24p2_004_minus,minus,strong_exclude_post,9.819044413173826
mistral-small-24b,g24p2_004,g24p2_004_minus,minus,counterfactual_delete_post,31.87435546615306
mistral-small-24b,g24p2_005,g24p2_005_plus,plus,base,12.31209973281362
mistral-small-24b,g24p2_005,g24p2_005_plus,plus,admit_post,98.22714491828266
mistral-small-24b,g24p2_005,g24p2_005_plus,plus,exclude_post,22.63425369875944
mistral-small-24b,g24p2_005,g24p2_005_plus,plus,strong_exclude_post,14.332757483291529
mistral-small-24b,g24p2_005,g24p2_005_plus,plus,counterfactual_delete_post,54.38107836282508
mistral-small-24b,g24p2_005,g24p2_005_minus,minus,admit_post,12.00804012457439
mistral-small-24b,g24p2_005,g24p2_005_minus,minus,exclude_post,27.536075338159698
mistral-small-24b,g24p2_005,g24p2_005_minus,minus,strong_exclude_post,14.393833452466993
mistral-small-24b,g24p2_005,g24p2_005_minus,minus,counterfactual_delete_post,36.055214711070704
mistral-small-24b,g24p2_006,g24p2_006_plus,plus,base,83.66982947197282
mistral-small-24b,g24p2_006,g24p2_006_plus,plus,admit_post,75.60590913467234
mistral-small-24b,g24p2_006,g24p2_006_plus,plus,exclude_post,20.927882690311634
mistral-small-24b,g24p2_006,g24p2_006_plus,plus,strong_exclude_post,41.46517539786414
mistral-small-24b,g24p2_006,g24p2_006_plus,plus,counterfactual_delete_post,49.24298586584829
mistral-small-24b,g24p2_006,g24p2_006_minus,minus,admit_post,11.351920658748345
mistral-small-24b,g24p2_006,g24p2_006_minus,minus,exclude_post,27.874714153559957
mistral-small-24b,g24p2_006,g24p2_006_minus,minus,strong_exclude_post,38.63508283785188
mistral-small-24b,g24p2_006,g24p2_006_minus,minus,counterfactual_delete_post,49.696447067716115
mistral-small-24b,g24p2_010,g24p2_010_plus,plus,base,13.62125218568983
mistral-small-24b,g24p2_010,g24p2_010_plus,plus,admit_post,12.562243097774417
mistral-small-24b,g24p2_010,g24p2_010_plus,plus,exclude_post,33.93828011248384
mistral-small-24b,g24p2_010,g24p2_010_plus,plus,strong_exclude_post,77.57299673751879
mistral-small-24b,g24p2_010,g24p2_010_plus,plus,counterfactual_delete_post,41.82088775230449
mistral-small-24b,g24p2_010,g24p2_010_minus,minus,admit_post,13.185227341971515
mistral-small-24b,g24p2_010,g24p2_010_minus,minus,exclude_post,34.78651589665262
mistral-small-24b,g24p2_010,g24p2_010_minus,minus,strong_exclude_post,37.65000744487226
mistral-small-24b,g24p2_010,g24p2_010_minus,minus,counterfactual_delete_post,34.236867907866184
mistral-small-24b,g24p2_011,g24p2_011_plus,plus,base,99.65246733894213
mistral-small-24b,g24p2_011,g24p2_011_plus,plus,admit_post,98.3087978785069
mistral-small-24b,g24p2_011,g24p2_011_plus,plus,exclude_post,40.6822215703397
mistral-small-24b,g24p2_011,g24p2_011_plus,plus,strong_exclude_post,59.4655006692732
mistral-small-24b,g24p2_011,g24p2_011_plus,plus,counterfactual_delete_post,68.88236244645037
mistral-small-24b,g24p2_011,g24p2_011_minus,minus,admit_post,5.74716905359291
mistral-small-24b,g24p2_011,g24p2_011_minus,minus,exclude_post,28.51769240696224
mistral-small-24b,g24p2_011,g24p2_011_minus,minus,strong_exclude_post,50.1858740321733
mistral-small-24b,g24p2_011,g24p2_011_minus,minus,counterfactual_delete_post,54.52855521358757
mistral-small-24b,g24p2_012,g24p2_012_plus,plus,base,56.224415706263486
mistral-small-24b,g24p2_012,g24p2_012_plus,plus,admit_post,98.84202957525837
mistral-small-24b,g24p2_012,g24p2_012_plus,plus,exclude_post,22.4515395620704
mistral-small-24b,g24p2_012,g24p2_012_plus,plus,strong_exclude_post,10.138824382901158
mistral-small-24b,g24p2_012,g24p2_012_plus,plus,counterfactual_delete_post,35.50840045047047
mistral-small-24b,g24p2_012,g24p2_012_minus,minus,admit_post,10.982234847344223
mistral-small-24b,g24p2_012,g24p2_012_minus,minus,exclude_post,3.405266613267349
mistral-small-24b,g24p2_012,g24p2_012_minus,minus,strong_exclude_post,8.957724381564802
mistral-small-24b,g24p2_012,g24p2_012_minus,minus,counterfactual_delete_post,9.287625822975809
mistral-small-24b,g24p2_014,g24p2_014_plus,plus,base,58.25215478036854
mistral-small-24b,g24p2_014,g24p2_014_plus,plus,admit_post,99.8474079432211
mistral-small-24b,g24p2_014,g24p2_014_plus,plus,exclude_post,27.797680414219137
mistral-small-24b,g24p2_014,g24p2_014_plus,plus,strong_exclude_post,14.093459198368251
mistral-small-24b,g24p2_014,g24p2_014_plus,plus,counterfactual_delete_post,24.9303784893563
mistral-small-24b,g24p2_014,g24p2_014_minus,minus,admit_post,0.03217893926429572
mistral-small-24b,g24p2_014,g24p2_014_minus,minus,exclude_post,27.76387300393883
mistral-small-24b,g24p2_014,g24p2_014_minus,minus,strong_exclude_post,45.298551327160325
mistral-small-24b,g24p2_014,g24p2_014_minus,minus,counterfactual_delete_post,32.170517646702365
mistral-small-24b,g24p2_015,g24p2_015_plus,plus,base,46.36669020680501
mistral-small-24b,g24p2_015,g24p2_015_plus,plus,admit_post,99.71008919240988
mistral-small-24b,g24p2_015,g24p2_015_plus,plus,exclude_post,21.854665607304213
mistral-small-24b,g24p2_015,g24p2_015_plus,plus,strong_exclude_post,55.405997275609366
mistral-small-24b,g24p2_015,g24p2_015_plus,plus,counterfactual_delete_post,77.00838030905108
mistral-small-24b,g24p2_015,g24p2_015_minus,minus,admit_post,18.425570143309518
mistral-small-24b,g24p2_015,g24p2_015_minus,minus,exclude_post,16.968817458303203
mistral-small-24b,g24p2_015,g24p2_015_minus,minus,strong_exclude_post,6.2839885875993975
mistral-small-24b,g24p2_015,g24p2_015_minus,minus,counterfactual_delete_post,32.383976907113286
mistral-small-24b,g24p2_016,g24p2_016_plus,plus,base,62.13641581136321
mistral-small-24b,g24p2_016,g24p2_016_plus,plus,admit_post,91.12355502237064
mistral-small-24b,g24p2_016,g24p2_016_plus,plus,exclude_post,33.56158341783072
mistral-small-24b,g24p2_016,g24p2_016_plus,plus,strong_exclude_post,27.7042155992569
mistral-small-24b,g24p2_016,g24p2_016_plus,plus,counterfactual_delete_post,33.23599790785233
mistral-small-24b,g24p2_016,g24p2_016_minus,minus,admit_post,7.031558257835372
mistral-small-24b,g24p2_016,g24p2_016_minus,minus,exclude_post,2.3236607261016946
mistral-small-24b,g24p2_016,g24p2_016_minus,minus,strong_exclude_post,34.68807279101614
mistral-small-24b,g24p2_016,g24p2_016_minus,minus,counterfactual_delete_post,46.58185277322408
mistral-small-24b,g24p2_017,g24p2_017_plus,plus,base,99.89975231057605
mistral-small-24b,g24p2_017,g24p2_017_plus,plus,admit_post,99.9297755841841
mistral-small-24b,g24p2_017,g24p2_017_plus,plus,exclude_post,10.138991128999415
mistral-small-24b,g24p2_017,g24p2_017_plus,plus,strong_exclude_post,85.98670924306532
mistral-small-24b,g24p2_017,g24p2_017_plus,plus,counterfactual_delete_post,40.36347647774229
mistral-small-24b,g24p2_017,g24p2_017_minus,minus,admit_post,8.538385325393012
mistral-small-24b,g24p2_017,g24p2_017_minus,minus,exclude_post,7.6000615273835495
mistral-small-24b,g24p2_017,g24p2_017_minus,minus,strong_exclude_post,86.06476297731531
mistral-small-24b,g24p2_017,g24p2_017_minus,minus,counterfactual_delete_post,40.487573341442456
mistral-small-24b,g24p2_018,g24p2_018_plus,plus,base,99.14335256978895
mistral-small-24b,g24p2_018,g24p2_018_plus,plus,admit_post,99.92159924732849
mistral-small-24b,g24p2_018,g24p2_018_plus,plus,exclude_post,33.299120574175916
mistral-small-24b,g24p2_018,g24p2_018_plus,plus,strong_exclude_post,54.27840461112355
mistral-small-24b,g24p2_018,g24p2_018_plus,plus,counterfactual_delete_post,26.572461338452953
mistral-small-24b,g24p2_018,g24p2_018_minus,minus,admit_post,10.939210301163968
mistral-small-24b,g24p2_018,g24p2_018_minus,minus,exclude_post,5.162427187833378
mistral-small-24b,g24p2_018,g24p2_018_minus,minus,strong_exclude_post,97.81532249182914
mistral-small-24b,g24p2_018,g24p2_018_minus,minus,counterfactual_delete_post,32.6563263354836
mistral-small-24b,g24p2_019,g24p2_019_plus,plus,base,34.09200186748402
mistral-small-24b,g24p2_019,g24p2_019_plus,plus,admit_post,93.47963924200603
mistral-small-24b,g24p2_019,g24p2_019_plus,plus,exclude_post,26.363385276841672
mistral-small-24b,g24p2_019,g24p2_019_plus,plus,strong_exclude_post,9.985836159418346
mistral-small-24b,g24p2_019,g24p2_019_plus,plus,counterfactual_delete_post,20.683579764637024
mistral-small-24b,g24p2_019,g24p2_019_minus,minus,admit_post,89.50392714330299
mistral-small-24b,g24p2_019,g24p2_019_minus,minus,exclude_post,29.23525545667838
mistral-small-24b,g24p2_019,g24p2_019_minus,minus,strong_exclude_post,18.360821872472307
mistral-small-24b,g24p2_019,g24p2_019_minus,minus,counterfactual_delete_post,36.02599706597807
mistral-small-24b,g24p2_020,g24p2_020_plus,plus,base,0.4678545549757103
mistral-small-24b,g24p2_020,g24p2_020_plus,plus,admit_post,99.60617827884764
mistral-small-24b,g24p2_020,g24p2_020_plus,plus,exclude_post,4.3973381497027475
mistral-small-24b,g24p2_020,g24p2_020_plus,plus,strong_exclude_post,20.212191676724604
mistral-small-24b,g24p2_020,g24p2_020_plus,plus,counterfactual_delete_post,36.56391022088739
mistral-small-24b,g24p2_020,g24p2_020_minus,minus,admit_post,0.056333536057358434
mistral-small-24b,g24p2_020,g24p2_020_minus,minus,exclude_post,0.8822770649348773
mistral-small-24b,g24p2_020,g24p2_020_minus,minus,strong_exclude_post,18.36618238080341
mistral-small-24b,g24p2_020,g24p2_020_minus,minus,counterfactual_delete_post,45.62505329356724
mistral-small-24b,g24p2_021,g24p2_021_plus,plus,base,99.76031541696871
mistral-small-24b,g24p2_021,g24p2_021_plus,plus,admit_post,99.95526791838046
mistral-small-24b,g24p2_021,g24p2_021_plus,plus,exclude_post,24.116329155886124
mistral-small-24b,g24p2_021,g24p2_021_plus,plus,strong_exclude_post,69.58561776396309
mistral-small-24b,g24p2_021,g24p2_021_plus,plus,counterfactual_delete_post,33.601662550305825
mistral-small-24b,g24p2_021,g24p2_021_minus,minus,admit_post,0.05724759753962272
mistral-small-24b,g24p2_021,g24p2_021_minus,minus,exclude_post,40.850956915538696
mistral-small-24b,g24p2_021,g24p2_021_minus,minus,strong_exclude_post,36.18437275366096
mistral-small-24b,g24p2_021,g24p2_021_minus,minus,counterfactual_delete_post,36.16916701738947
mistral-small-24b,g24p2_023,g24p2_023_plus,plus,base,99.4931275917149
mistral-small-24b,g24p2_023,g24p2_023_plus,plus,admit_post,99.39886687925119
mistral-small-24b,g24p2_023,g24p2_023_plus,plus,exclude_post,18.96192681381371
mistral-small-24b,g24p2_023,g24p2_023_plus,plus,strong_exclude_post,88.53937208118731
mistral-small-24b,g24p2_023,g24p2_023_plus,plus,counterfactual_delete_post,45.98599610276555
mistral-small-24b,g24p2_023,g24p2_023_minus,minus,admit_post,9.178782859844077
mistral-small-24b,g24p2_023,g24p2_023_minus,minus,exclude_post,6.484761605057873
mistral-small-24b,g24p2_023,g24p2_023_minus,minus,strong_exclude_post,85.83677097660971
mistral-small-24b,g24p2_023,g24p2_023_minus,minus,counterfactual_delete_post,84.60190285643314
mistral-small-24b,g24p2_024,g24p2_024_plus,plus,base,39.54378262034355
mistral-small-24b,g24p2_024,g24p2_024_plus,plus,admit_post,99.80773858847596
mistral-small-24b,g24p2_024,g24p2_024_plus,plus,exclude_post,30.446816299383233
mistral-small-24b,g24p2_024,g24p2_024_plus,plus,strong_exclude_post,32.70014606125214
mistral-small-24b,g24p2_024,g24p2_024_plus,plus,counterfactual_delete_post,53.81726647109045
mistral-small-24b,g24p2_024,g24p2_024_minus,minus,admit_post,95.43251917456551
mistral-small-24b,g24p2_024,g24p2_024_minus,minus,exclude_post,16.997660931261223
mistral-small-24b,g24p2_024,g24p2_024_minus,minus,strong_exclude_post,18.806589987507916
mistral-small-24b,g24p2_024,g24p2_024_minus,minus,counterfactual_delete_post,37.402391613074684
mistral-small-24b,g24p2_026,g24p2_026_plus,plus,base,14.09373589403628
mistral-small-24b,g24p2_026,g24p2_026_plus,plus,admit_post,99.88601667507271
mistral-small-24b,g24p2_026,g24p2_026_plus,plus,exclude_post,28.737194218796446
mistral-small-24b,g24p2_026,g24p2_026_plus,plus,strong_exclude_post,17.89480929893101
mistral-small-24b,g24p2_026,g24p2_026_plus,plus,counterfactual_delete_post,38.15372298089745
mistral-small-24b,g24p2_026,g24p2_026_minus,minus,admit_post,0.043593455969777914
mistral-small-24b,g24p2_026,g24p2_026_minus,minus,exclude_post,36.87881167819643
mistral-small-24b,g24p2_026,g24p2_026_minus,minus,strong_exclude_post,31.39046258004358
mistral-small-24b,g24p2_026,g24p2_026_minus,minus,counterfactual_delete_post,41.11177593952322
mistral-small-24b,g24p2_027,g24p2_027_plus,plus,base,99.75156301932496
mistral-small-24b,g24p2_027,g24p2_027_plus,plus,admit_post,99.87591716892997
mistral-small-24b,g24p2_027,g24p2_027_plus,plus,exclude_post,34.58509495482163
mistral-small-24b,g24p2_027,g24p2_027_plus,plus,strong_exclude_post,80.7057324020701
mistral-small-24b,g24p2_027,g24p2_027_plus,plus,counterfactual_delete_post,84.67055003261753
mistral-small-24b,g24p2_027,g24p2_027_minus,minus,admit_post,4.197835739630098
mistral-small-24b,g24p2_027,g24p2_027_minus,minus,exclude_post,99.26159161349275
mistral-small-24b,g24p2_027,g24p2_027_minus,minus,strong_exclude_post,99.20768680893696
mistral-small-24b,g24p2_027,g24p2_027_minus,minus,counterfactual_delete_post,71.76260100184852
mistral-small-24b,g24p2_028,g24p2_028_plus,plus,base,1.2064411626977631
mistral-small-24b,g24p2_028,g24p2_028_plus,plus,admit_post,99.904977244411
mistral-small-24b,g24p2_028,g24p2_028_plus,plus,exclude_post,9.210486509442902
mistral-small-24b,g24p2_028,g24p2_028_plus,plus,strong_exclude_post,16.022583893648765
mistral-small-24b,g24p2_028,g24p2_028_plus,plus,counterfactual_delete_post,33.2353087869004
mistral-small-24b,g24p2_028,g24p2_028_minus,minus,admit_post,8.226397733304085
mistral-small-24b,g24p2_028,g24p2_028_minus,minus,exclude_post,2.79827405124394
mistral-small-24b,g24p2_028,g24p2_028_minus,minus,strong_exclude_post,26.20808427320192
mistral-small-24b,g24p2_028,g24p2_028_minus,minus,counterfactual_delete_post,42.64002659759367
mistral-small-24b,g24p2_029,g24p2_029_plus,plus,base,45.03458900787187
mistral-small-24b,g24p2_029,g24p2_029_plus,plus,admit_post,99.94138601315434
mistral-small-24b,g24p2_029,g24p2_029_plus,plus,exclude_post,10.639618607748536
mistral-small-24b,g24p2_029,g24p2_029_plus,plus,strong_exclude_post,35.198217460931005
mistral-small-24b,g24p2_029,g24p2_029_plus,plus,counterfactual_delete_post,35.82327102453024
mistral-small-24b,g24p2_029,g24p2_029_minus,minus,admit_post,6.229164420375449
mistral-small-24b,g24p2_029,g24p2_029_minus,minus,exclude_post,6.07044765983825
mistral-small-24b,g24p2_029,g24p2_029_minus,minus,strong_exclude_post,5.2916728969674995
mistral-small-24b,g24p2_029,g24p2_029_minus,minus,counterfactual_delete_post,27.204149694133054
mistral-small-24b,g24p2_033,g24p2_033_plus,plus,base,9.394499730099406
mistral-small-24b,g24p2_033,g24p2_033_plus,plus,admit_post,93.36694494220603
mistral-small-24b,g24p2_033,g24p2_033_plus,plus,exclude_post,1.9845216389556457
mistral-small-24b,g24p2_033,g24p2_033_plus,plus,strong_exclude_post,27.79767949147744
mistral-small-24b,g24p2_033,g24p2_033_plus,plus,counterfactual_delete_post,44.19910872934058
mistral-small-24b,g24p2_033,g24p2_033_minus,minus,admit_post,14.329672162190544
mistral-small-24b,g24p2_033,g24p2_033_minus,minus,exclude_post,44.45438071100349
mistral-small-24b,g24p2_033,g24p2_033_minus,minus,strong_exclude_post,31.314199138864222
mistral-small-24b,g24p2_033,g24p2_033_minus,minus,counterfactual_delete_post,46.2778162067679
mistral-small-24b,g24p2_034,g24p2_034_plus,plus,base,79.03113869604958
mistral-small-24b,g24p2_034,g24p2_034_plus,plus,admit_post,99.74736548139174
mistral-small-24b,g24p2_034,g24p2_034_plus,plus,exclude_post,28.554044366918237
mistral-small-24b,g24p2_034,g24p2_034_plus,plus,strong_exclude_post,78.48145072202
mistral-small-24b,g24p2_034,g24p2_034_plus,plus,counterfactual_delete_post,40.558054212434875
mistral-small-24b,g24p2_034,g24p2_034_minus,minus,admit_post,28.067002922455245
mistral-small-24b,g24p2_034,g24p2_034_minus,minus,exclude_post,30.233059953345382
mistral-small-24b,g24p2_034,g24p2_034_minus,minus,strong_exclude_post,76.24373894349134
mistral-small-24b,g24p2_034,g24p2_034_minus,minus,counterfactual_delete_post,44.30290318894154
mistral-small-24b,g24p2_035,g24p2_035_plus,plus,base,8.299220141892423
mistral-small-24b,g24p2_035,g24p2_035_plus,plus,admit_post,99.20601922040322
mistral-small-24b,g24p2_035,g24p2_035_plus,plus,exclude_post,1.9152310107026689
mistral-small-24b,g24p2_035,g24p2_035_plus,plus,strong_exclude_post,2.5369753917954037
mistral-small-24b,g24p2_035,g24p2_035_plus,plus,counterfactual_delete_post,22.96674305496721
mistral-small-24b,g24p2_035,g24p2_035_minus,minus,admit_post,98.98481419015826
mistral-small-24b,g24p2_035,g24p2_035_minus,minus,exclude_post,7.0340564257140175
mistral-small-24b,g24p2_035,g24p2_035_minus,minus,strong_exclude_post,5.6675930850819825
mistral-small-24b,g24p2_035,g24p2_035_minus,minus,counterfactual_delete_post,32.94070590134935
mistral-small-24b,g24p2_036,g24p2_036_plus,plus,base,93.84823559647967
mistral-small-24b,g24p2_036,g24p2_036_plus,plus,admit_post,99.70548715142742
mistral-small-24b,g24p2_036,g24p2_036_plus,plus,exclude_post,17.71017334600256
mistral-small-24b,g24p2_036,g24p2_036_plus,plus,strong_exclude_post,86.99660513697359
mistral-small-24b,g24p2_036,g24p2_036_plus,plus,counterfactual_delete_post,90.56465128616183
mistral-small-24b,g24p2_036,g24p2_036_minus,minus,admit_post,9.221557980302647
mistral-small-24b,g24p2_036,g24p2_036_minus,minus,exclude_post,92.30344446772102
mistral-small-24b,g24p2_036,g24p2_036_minus,minus,strong_exclude_post,91.78653756897265
mistral-small-24b,g24p2_036,g24p2_036_minus,minus,counterfactual_delete_post,88.49409401236245
mistral-small-24b,g24p2_037,g24p2_037_plus,plus,base,18.836356410662418
mistral-small-24b,g24p2_037,g24p2_037_plus,plus,admit_post,98.64672444861979
mistral-small-24b,g24p2_037,g24p2_037_plus,plus,exclude_post,18.742716072940837
mistral-small-24b,g24p2_037,g24p2_037_plus,plus,strong_exclude_post,11.069829990447424
mistral-small-24b,g24p2_037,g24p2_037_plus,plus,counterfactual_delete_post,32.60771315527836
mistral-small-24b,g24p2_037,g24p2_037_minus,minus,admit_post,99.88458934272943
mistral-small-24b,g24p2_037,g24p2_037_minus,minus,exclude_post,18.153888955518255
mistral-small-24b,g24p2_037,g24p2_037_minus,minus,strong_exclude_post,19.63354074433134
mistral-small-24b,g24p2_037,g24p2_037_minus,minus,counterfactual_delete_post,32.57427885966041
mistral-small-24b,g24p2_038,g24p2_038_plus,plus,base,73.77939730437312
mistral-small-24b,g24p2_038,g24p2_038_plus,plus,admit_post,99.73082916039668
mistral-small-24b,g24p2_038,g24p2_038_plus,plus,exclude_post,16.557088010140276
mistral-small-24b,g24p2_038,g24p2_038_plus,plus,strong_exclude_post,8.852986438064436
mistral-small-24b,g24p2_038,g24p2_038_plus,plus,counterfactual_delete_post,39.81350467100331
mistral-small-24b,g24p2_038,g24p2_038_minus,minus,admit_post,95.52383778473678
mistral-small-24b,g24p2_038,g24p2_038_minus,minus,exclude_post,19.836402822154486
mistral-small-24b,g24p2_038,g24p2_038_minus,minus,strong_exclude_post,6.235497986776041
mistral-small-24b,g24p2_038,g24p2_038_minus,minus,counterfactual_delete_post,28.259605516504116
mistral-small-24b,g24p2_039,g24p2_039_plus,plus,base,0.20949171912268258
mistral-small-24b,g24p2_039,g24p2_039_plus,plus,admit_post,99.60666048298
mistral-small-24b,g24p2_039,g24p2_039_plus,plus,exclude_post,14.04169565506601
mistral-small-24b,g24p2_039,g24p2_039_plus,plus,strong_exclude_post,11.207361215991297
mistral-small-24b,g24p2_039,g24p2_039_plus,plus,counterfactual_delete_post,26.2741961618652
mistral-small-24b,g24p2_039,g24p2_039_minus,minus,admit_post,0.04720614491100734
mistral-small-24b,g24p2_039,g24p2_039_minus,minus,exclude_post,8.970284360458676
mistral-small-24b,g24p2_039,g24p2_039_minus,minus,strong_exclude_post,24.182071588305057
mistral-small-24b,g24p2_039,g24p2_039_minus,minus,counterfactual_delete_post,23.531477678120623
mistral-small-24b,g24p2_040,g24p2_040_plus,plus,base,99.82680804956355
mistral-small-24b,g24p2_040,g24p2_040_plus,plus,admit_post,86.5805042079674
mistral-small-24b,g24p2_040,g24p2_040_plus,plus,exclude_post,99.5343800261984
mistral-small-24b,g24p2_040,g24p2_040_plus,plus,strong_exclude_post,97.90233634798993
mistral-small-24b,g24p2_040,g24p2_040_plus,plus,counterfactual_delete_post,99.76853389044354
mistral-small-24b,g24p2_040,g24p2_040_minus,minus,admit_post,28.64123930946376
mistral-small-24b,g24p2_040,g24p2_040_minus,minus,exclude_post,99.78394992719335
mistral-small-24b,g24p2_040,g24p2_040_minus,minus,strong_exclude_post,35.77108233739042
mistral-small-24b,g24p2_040,g24p2_040_minus,minus,counterfactual_delete_post,95.00276097604947
mistral-small-24b,g24p2_041,g24p2_041_plus,plus,base,0.5767625499727335
mistral-small-24b,g24p2_041,g24p2_041_plus,plus,admit_post,0.1465810449827003
mistral-small-24b,g24p2_041,g24p2_041_plus,plus,exclude_post,18.913057412790963
mistral-small-24b,g24p2_041,g24p2_041_plus,plus,strong_exclude_post,77.62393863946653
mistral-small-24b,g24p2_041,g24p2_041_plus,plus,counterfactual_delete_post,45.71752633803599
mistral-small-24b,g24p2_041,g24p2_041_minus,minus,admit_post,0.06364261753198754
mistral-small-24b,g24p2_041,g24p2_041_minus,minus,exclude_post,17.638210762455312
mistral-small-24b,g24p2_041,g24p2_041_minus,minus,strong_exclude_post,17.45865620968384
mistral-small-24b,g24p2_041,g24p2_041_minus,minus,counterfactual_delete_post,73.22243667057114
mistral-small-24b,g24p2_043,g24p2_043_plus,plus,base,99.75637807394027
mistral-small-24b,g24p2_043,g24p2_043_plus,plus,admit_post,99.9711697378183
mistral-small-24b,g24p2_043,g24p2_043_plus,plus,exclude_post,43.820061093767464
mistral-small-24b,g24p2_043,g24p2_043_plus,plus,strong_exclude_post,65.88430884096572
mistral-small-24b,g24p2_043,g24p2_043_plus,plus,counterfactual_delete_post,35.48174957861102
mistral-small-24b,g24p2_043,g24p2_043_minus,minus,admit_post,0.04822097360585338
mistral-small-24b,g24p2_043,g24p2_043_minus,minus,exclude_post,24.830777637160164
mistral-small-24b,g24p2_043,g24p2_043_minus,minus,strong_exclude_post,35.925062283846756
mistral-small-24b,g24p2_043,g24p2_043_minus,minus,counterfactual_delete_post,39.58593344188456
mistral-small-24b,g24p2_044,g24p2_044_plus,plus,base,1.9000828139752817
mistral-small-24b,g24p2_044,g24p2_044_plus,plus,admit_post,99.87329565185976
mistral-small-24b,g24p2_044,g24p2_044_plus,plus,exclude_post,24.07163319868293
mistral-small-24b,g24p2_044,g24p2_044_plus,plus,strong_exclude_post,87.15457428038026
mistral-small-24b,g24p2_044,g24p2_044_plus,plus,counterfactual_delete_post,58.44485035855462
mistral-small-24b,g24p2_044,g24p2_044_minus,minus,admit_post,10.814502146803783
mistral-small-24b,g24p2_044,g24p2_044_minus,minus,exclude_post,11.514748111846052
mistral-small-24b,g24p2_044,g24p2_044_minus,minus,strong_exclude_post,44.241980084144984
mistral-small-24b,g24p2_044,g24p2_044_minus,minus,counterfactual_delete_post,43.23181820653969
mistral-small-24b,g24p2_046,g24p2_046_plus,plus,base,10.40652916450273
